Reference:  32 apertures in FGS_SIAF_2018-04-17
Comparison: 32 apertures in pre_delivery

Number of modified apertures 32. Significant modifications are listed below.
Differences are reported for any text change
and fractional differences greater than 1e-06

Aperture                        Attribute             Reference            Comparison      Difference    Percent
FGS1_FULL_OSS                   XSciScale            0.06853766            0.06853116        0.000007     0.0095
FGS1_FULL_OSS                   YSciScale            0.07008458            0.07005886        0.000026     0.0367
FGS1_FULL_OSS                       V2Ref            207.130658                207.19        0.059342     0.0286
FGS1_FULL_OSS                       V3Ref            -699.35723                -697.5        1.857230     0.2656
FGS1_FULL_OSS                 V3IdlYAngle             -1.252449           -1.25081713        0.001632     0.1303
FGS1_FULL_OSS                 V3SciXAngle             90.439489           90.43701942        0.002470     0.0027
FGS1_FULL_OSS                 V3SciYAngle            178.747551          178.74918287        0.001632     0.0009
FGS1_FULL_OSS                   XIdlVert1              -69.0145                -69.01        0.004500     0.0065
FGS1_FULL_OSS                   XIdlVert2               70.2963                70.294        0.002300     0.0033
FGS1_FULL_OSS                   XIdlVert3               71.8348               71.8255        0.009300     0.0129
FGS1_FULL_OSS                   XIdlVert4              -70.4061              -70.3952        0.010900     0.0155
FGS1_FULL_OSS                   YIdlVert1               72.3711               72.3452        0.025900     0.0358
FGS1_FULL_OSS                   YIdlVert2               68.9657                68.951        0.014700     0.0213
FGS1_FULL_OSS                   YIdlVert3              -75.9331              -75.8935        0.039600     0.0522
FGS1_FULL_OSS                   YIdlVert4              -70.8654              -70.8365        0.028900     0.0408
FGS1_FULL_OSS                  Sci2IdlX10    0.0685077815170887   0.06850142322844019        0.000006     0.0093
FGS1_FULL_OSS                  Sci2IdlX11                   0.0 1.929879867024198e-17        0.000000   100.0000
FGS1_FULL_OSS                  Sci2IdlX20  4.71460355086313e-07  4.72406596521652e-07        0.000000     0.2003
FGS1_FULL_OSS                  Sci2IdlX21  6.85181120557939e-07 6.821876392826733e-07        0.000000     0.4369
FGS1_FULL_OSS                  Sci2IdlX22   1.6413713899798e-07 1.641824601199867e-07        0.000000     0.0276
FGS1_FULL_OSS                  Sci2IdlX30  1.02548348676756e-10  1.02540716038746e-10        0.000000     0.0074
FGS1_FULL_OSS                  Sci2IdlX31  2.62625831341516e-11 2.616928295594079e-11        0.000000     0.3553
FGS1_FULL_OSS                  Sci2IdlX32  1.17218817289352e-10 1.170000084003128e-10        0.000000     0.1867
FGS1_FULL_OSS                  Sci2IdlX33   7.9153141604802e-12 7.913325033993267e-12        0.000000     0.0251
FGS1_FULL_OSS                  Sci2IdlX40  3.72068125018837e-15 3.561420059015675e-15        0.000000     4.2804
FGS1_FULL_OSS                  Sci2IdlX41  6.31234827540451e-15 6.179829559514827e-15        0.000000     2.0994
FGS1_FULL_OSS                  Sci2IdlX42  5.41614370404083e-15 5.359907987848078e-15        0.000000     1.0383
FGS1_FULL_OSS                  Sci2IdlX43  6.48381991922815e-15 6.435154618172446e-15        0.000000     0.7506
FGS1_FULL_OSS                  Sci2IdlX44  1.01694147280413e-15 1.129456181100868e-15        0.000000     9.9618
FGS1_FULL_OSS                  Sci2IdlY10  -0.00202361583946571 -0.002018519748382731        0.000005     0.2518
FGS1_FULL_OSS                  Sci2IdlY11   -0.0700845843357426  -0.07005886361899759        0.000026     0.0367
FGS1_FULL_OSS                  Sci2IdlY20 -2.90437956082039e-07 -2.88725014120298e-07        0.000000     0.5898
FGS1_FULL_OSS                  Sci2IdlY21 -3.87125855943342e-07 -3.871617096937588e-07        0.000000     0.0093
FGS1_FULL_OSS                  Sci2IdlY22 -9.91042536422194e-07 -9.859092008729103e-07        0.000000     0.5180
FGS1_FULL_OSS                  Sci2IdlY30 -1.08133281060982e-11 -1.086014422650633e-11        0.000000     0.4311
