Reference:  33 apertures in PRDOPSSOC-045-003
Comparison: 33 apertures in pre_delivery

Number of modified apertures 32. Significant modifications are listed below.
Differences are reported for any text change
and fractional differences greater than 1e-06

Aperture                        Attribute             Reference            Comparison      Difference    Percent
FGS1_FULL_OSS                       V2Ref               206.464               206.407        0.057000     0.0276
FGS1_FULL_OSS                       V3Ref               -697.97              -697.765        0.205000     0.0294
FGS1_FULL_OSS                 V3IdlYAngle           -1.25081713           -1.24120427        0.009613     0.7685
FGS1_FULL_OSS                 V3SciXAngle           90.43701942           90.44196715        0.004948     0.0055
FGS1_FULL_OSS                 V3SciYAngle          178.74918287          178.75879573        0.009613     0.0054

FGS1_FULL                           V2Ref               206.464               206.407        0.057000     0.0276
FGS1_FULL                           V3Ref               -697.97              -697.765        0.205000     0.0294
FGS1_FULL                     V3IdlYAngle           -1.25081713           -1.24120427        0.009613     0.7685
FGS1_FULL                     V3SciXAngle          -89.56298058          -89.55803285        0.004948     0.0055
FGS1_FULL                     V3SciYAngle           -1.25081713           -1.24120427        0.009613     0.7685

FGS2_FULL_OSS                       V2Ref                22.845                22.835        0.010000     0.0438
FGS2_FULL_OSS                       V3Ref              -699.489              -699.423        0.066000     0.0094
FGS2_FULL_OSS                 V3IdlYAngle            0.19027904             0.2914828        0.101204    34.7203
FGS2_FULL_OSS                 V3SciXAngle           89.24296978           89.30933724        0.066367     0.0743
FGS2_FULL_OSS                 V3SciYAngle            0.19027904             0.2914828        0.101204    34.7203

FGS2_FULL                           V2Ref                22.845                22.835        0.010000     0.0438
FGS2_FULL                           V3Ref              -699.489              -699.423        0.066000     0.0094
FGS2_FULL                     V3IdlYAngle            0.19027904             0.2914828        0.101204    34.7203
FGS2_FULL                     V3SciXAngle          -90.75703022          -90.69066276        0.066367     0.0731
FGS2_FULL                     V3SciYAngle            0.19027904             0.2914828        0.101204    34.7203

FGS1_SUB128LL                       V2Ref            140.400967            140.355093        0.045874     0.0327
