Reference:  32 apertures in FGS_SIAF_2018-04-17 (index 0 in table below)
Comparison: 32 apertures in pre_delivery (index 1 in table below)

       AperName , siaf0_dx_mean , siaf0_dy_mean , siaf1_dx_mean , siaf1_dy_mean , difference_dx_mean , difference_dy_mean
  FGS1_FULL_OSS ,      0.001314 ,      0.001494 ,      0.002853 ,      0.002446 ,           0.001539 ,           0.000952
      FGS1_FULL ,      0.001313 ,      0.001493 ,      0.002851 ,      0.002444 ,           0.001538 ,           0.000951
  FGS2_FULL_OSS ,      0.001141 ,      0.001367 ,      0.001923 ,      0.002859 ,           0.000783 ,           0.001492
      FGS2_FULL ,      0.001141 ,      0.001367 ,      0.001922 ,      0.002859 ,           0.000782 ,           0.001492
  FGS1_SUB128LL ,      0.002007 ,      0.002341 ,      0.001933 ,      0.003283 ,          -0.000074 ,           0.000942
FGS1_SUB128DIAG ,      0.000299 ,      0.000347 ,      0.000500 ,      0.000356 ,           0.000201 ,           0.000009
FGS1_SUB128CNTR ,      0.000282 ,      0.000356 ,      0.000297 ,      0.000276 ,           0.000015 ,          -0.000080
   FGS1_SUB32LL ,      0.000499 ,      0.000582 ,      0.000480 ,      0.000819 ,          -0.000019 ,           0.000237
 FGS1_SUB32DIAG ,      0.000076 ,      0.000088 ,      0.000126 ,      0.000090 ,           0.000051 ,           0.000003
 FGS1_SUB32CNTR ,      0.000071 ,      0.000090 ,      0.000075 ,      0.000070 ,           0.000004 ,          -0.000020
    FGS1_SUB8LL ,      0.000129 ,      0.000149 ,      0.000124 ,      0.000211 ,          -0.000005 ,           0.000062
  FGS1_SUB8DIAG ,      0.000020 ,      0.000023 ,      0.000033 ,      0.000023 ,           0.000013 ,           0.000001
  FGS1_SUB8CNTR ,      0.000018 ,      0.000023 ,      0.000019 ,      0.000018 ,           0.000001 ,          -0.000005
  FGS2_SUB128LL ,      0.001780 ,      0.002160 ,      0.000839 ,      0.002994 ,          -0.000941 ,           0.000834
FGS2_SUB128DIAG ,      0.000249 ,      0.000288 ,      0.000359 ,      0.000145 ,           0.000110 ,          -0.000144
FGS2_SUB128CNTR ,      0.000242 ,      0.000330 ,      0.000361 ,      0.000177 ,           0.000119 ,          -0.000153
   FGS2_SUB32LL ,      0.000441 ,      0.000535 ,      0.000206 ,      0.000744 ,          -0.000236 ,           0.000209
 FGS2_SUB32DIAG ,      0.000063 ,      0.000072 ,      0.000090 ,      0.000037 ,           0.000027 ,          -0.000036
 FGS2_SUB32CNTR ,      0.000061 ,      0.000083 ,      0.000091 ,      0.000045 ,           0.000030 ,          -0.000039
    FGS2_SUB8LL ,      0.000110 ,      0.000134 ,      0.000051 ,      0.000187 ,          -0.000059 ,           0.000053
  FGS2_SUB8DIAG ,      0.000016 ,      0.000018 ,      0.000022 ,      0.000009 ,           0.000007 ,          -0.000009
  FGS2_SUB8CNTR ,      0.000015 ,      0.000021 ,      0.000023 ,      0.000011 ,           0.000007 ,          -0.000010
   FGS1_FP1MIMF ,      0.001310 ,      0.001492 ,      0.002815 ,      0.002332 ,           0.001505 ,           0.000840
   FGS1_FP2MIMF ,      0.001684 ,      0.001895 ,      0.007825 ,      0.002340 ,           0.006141 ,           0.000445
   FGS1_FP3MIMF ,      0.002236 ,      0.002466 ,      0.003856 ,      0.002189 ,           0.001620 ,          -0.000277
   FGS1_FP4MIMF ,      0.001886 ,      0.002175 ,      0.008512 ,      0.003630 ,           0.006625 ,           0.001455
   FGS1_FP5MIMF ,      0.003475 ,      0.003642 ,      0.003133 ,      0.010181 ,          -0.000342 ,           0.006539
   FGS2_FP1MIMF ,      0.001147 ,      0.001376 ,      0.001885 ,      0.002861 ,           0.000737 ,           0.001485
   FGS2_FP2MIMF ,      0.001913 ,      0.002196 ,      0.002400 ,      0.002631 ,           0.000488 ,           0.000435
   FGS2_FP3MIMF ,      0.001648 ,      0.001928 ,      0.002884 ,      0.003268 ,           0.001235 ,           0.001340
   FGS2_FP4MIMF ,      0.002626 ,      0.002954 ,      0.002332 ,      0.004809 ,          -0.000295 ,           0.001855
   FGS2_FP5MIMF ,      0.001649 ,      0.001948 ,      0.002938 ,      0.002304 ,           0.001289 ,           0.000357
