Reference:  33 apertures in PRDOPSSOC-045 (index 0 in table below)
Comparison: 33 apertures in pre_delivery (index 1 in table below)

       AperName , siaf0_dx_mean , siaf0_dy_mean , siaf1_dx_mean , siaf1_dy_mean , difference_dx_mean , difference_dy_mean
  FGS1_FULL_OSS ,      0.002853 ,      0.002446 ,      0.029831 ,      0.044007 ,           0.026978 ,           0.041562
      FGS1_FULL ,      0.002851 ,      0.002444 ,      0.029797 ,      0.044000 ,           0.026946 ,           0.041555
  FGS2_FULL_OSS ,      0.001923 ,      0.002859 ,      0.022868 ,      0.059005 ,           0.020945 ,           0.056146
      FGS2_FULL ,      0.001922 ,      0.002859 ,      0.022903 ,      0.059000 ,           0.020981 ,           0.056141
  FGS1_SUB128LL ,      0.001933 ,      0.003283 ,      0.003148 ,      0.005098 ,           0.001215 ,           0.001815
FGS1_SUB128DIAG ,      0.000500 ,      0.000356 ,      0.001143 ,      0.002164 ,           0.000643 ,           0.001807
FGS1_SUB128CNTR ,      0.000297 ,      0.000276 ,      0.001876 ,      0.002960 ,           0.001579 ,           0.002684
   FGS1_SUB32LL ,      0.000480 ,      0.000819 ,      0.000783 ,      0.001272 ,           0.000303 ,           0.000453
 FGS1_SUB32DIAG ,      0.000126 ,      0.000090 ,      0.000286 ,      0.000541 ,           0.000159 ,           0.000450
 FGS1_SUB32CNTR ,      0.000075 ,      0.000070 ,      0.000469 ,      0.000742 ,           0.000394 ,           0.000672
    FGS1_SUB8LL ,      0.000124 ,      0.000211 ,      0.000201 ,      0.000328 ,           0.000077 ,           0.000117
  FGS1_SUB8DIAG ,      0.000033 ,      0.000023 ,      0.000071 ,      0.000137 ,           0.000039 ,           0.000114
  FGS1_SUB8CNTR ,      0.000019 ,      0.000018 ,      0.000118 ,      0.000189 ,           0.000099 ,           0.000171
  FGS2_SUB128LL ,      0.000839 ,      0.002994 ,      0.002924 ,      0.006661 ,           0.002084 ,           0.003668
FGS2_SUB128DIAG ,      0.000359 ,      0.000145 ,      0.002384 ,      0.004153 ,           0.002025 ,           0.004008
FGS2_SUB128CNTR ,      0.000361 ,      0.000177 ,      0.001354 ,      0.003551 ,           0.000993 ,           0.003374
   FGS2_SUB32LL ,      0.000206 ,      0.000744 ,      0.000725 ,      0.001655 ,           0.000519 ,           0.000911
 FGS2_SUB32DIAG ,      0.000090 ,      0.000037 ,      0.000597 ,      0.001039 ,           0.000507 ,           0.001002
 FGS2_SUB32CNTR ,      0.000091 ,      0.000045 ,      0.000338 ,      0.000889 ,           0.000248 ,           0.000845
    FGS2_SUB8LL ,      0.000051 ,      0.000187 ,      0.000186 ,      0.000423 ,           0.000135 ,           0.000236
  FGS2_SUB8DIAG ,      0.000022 ,      0.000009 ,      0.000150 ,      0.000261 ,           0.000127 ,           0.000252
  FGS2_SUB8CNTR ,      0.000023 ,      0.000011 ,      0.000085 ,      0.000227 ,           0.000062 ,           0.000215
   FGS1_FP1MIMF ,      0.002815 ,      0.002332 ,      0.029797 ,      0.044059 ,           0.026982 ,           0.041728
   FGS1_FP2MIMF ,      0.007825 ,      0.002340 ,      0.049022 ,      0.055106 ,           0.041197 ,           0.052767
   FGS1_FP3MIMF ,      0.003856 ,      0.002189 ,      0.042598 ,      0.069678 ,           0.038742 ,           0.067489
   FGS1_FP4MIMF ,      0.008512 ,      0.003630 ,      0.055577 ,      0.061908 ,           0.047065 ,           0.058278
   FGS1_FP5MIMF ,      0.003133 ,      0.010181 ,      0.038017 ,      0.087374 ,           0.034884 ,           0.077193
   FGS2_FP1MIMF ,      0.001885 ,      0.002861 ,      0.022995 ,      0.059000 ,           0.021110 ,           0.056139
   FGS2_FP2MIMF ,      0.002400 ,      0.002631 ,      0.038238 ,      0.080137 ,           0.035837 ,           0.077506
   FGS2_FP3MIMF ,      0.002884 ,      0.003268 ,      0.022481 ,      0.134820 ,           0.019597 ,           0.131552
   FGS2_FP4MIMF ,      0.002332 ,      0.004809 ,      0.028763 ,      0.074987 ,           0.026431 ,           0.070178
   FGS2_FP5MIMF ,      0.002938 ,      0.002304 ,      0.050455 ,      0.095696 ,           0.047517 ,           0.093391
