Reference:  277 apertures in PRDOPSSOC-H-015 (index 0 in table below)
Comparison: 277 apertures in pre_delivery (index 1 in table below)

             AperName , siaf0_dx_mean , siaf0_dy_mean , siaf1_dx_mean , siaf1_dy_mean , difference_dx_mean , difference_dy_mean
       MIRIM_FULL_OSS ,      0.008508 ,      0.001602 ,      0.008508 ,      0.001602 ,          -0.000000 ,           0.000000
           MIRIM_FULL ,      0.008508 ,      0.001602 ,      0.008508 ,      0.001602 ,          -0.000000 ,           0.000000
          MIRIM_ILLUM ,      0.056279 ,      0.007422 ,      0.056279 ,      0.007422 ,          -0.000000 ,          -0.000000
      MIRIM_BRIGHTSKY ,      0.101275 ,      0.013852 ,      0.101275 ,      0.013852 ,          -0.000000 ,          -0.000000
         MIRIM_SUB256 ,      0.078155 ,      0.010549 ,      0.078155 ,      0.010549 ,          -0.000000 ,          -0.000000
         MIRIM_SUB128 ,      0.120462 ,      0.051262 ,      0.120462 ,      0.051262 ,          -0.000000 ,          -0.000000
          MIRIM_SUB64 ,      0.085316 ,      0.036160 ,      0.085316 ,      0.036160 ,          -0.000000 ,          -0.000000
  MIRIM_SLITLESSPRISM ,      0.038930 ,      0.014249 ,      0.038930 ,      0.014249 ,          -0.000000 ,          -0.000000
  MIRIM_SLITLESSUPPER ,      0.075586 ,      0.032085 ,      0.075586 ,      0.032085 ,          -0.000000 ,          -0.000000
  MIRIM_SLITLESSLOWER ,      0.037804 ,      0.014078 ,      0.037804 ,      0.014078 ,          -0.000000 ,          -0.000000
       MIRIM_MASK1065 ,      0.009017 ,      0.001777 ,      0.009017 ,      0.001777 ,           0.000000 ,          -0.000000
       MIRIM_MASK1140 ,      0.013182 ,      0.003765 ,      0.013182 ,      0.003765 ,           0.000000 ,           0.000000
       MIRIM_MASK1550 ,      0.027834 ,      0.009880 ,      0.027834 ,      0.009880 ,           0.000000 ,          -0.000000
       MIRIM_MASKLYOT ,      0.068513 ,      0.028102 ,      0.068513 ,      0.028102 ,           0.000000 ,          -0.000000
          MIRIM_TAMRS ,      1.450849 ,      0.495057 ,      1.450849 ,      0.495057 ,          -0.000000 ,          -0.000000
          MIRIM_TALRS ,      0.064424 ,      0.016797 ,      0.064424 ,      0.016797 ,          -0.000000 ,          -0.000000
        MIRIM_TABLOCK ,      0.029463 ,      0.016116 ,      0.029463 ,      0.016116 ,          -0.000000 ,          -0.000000
      MIRIM_TALYOT_UL ,      0.107771 ,      0.047481 ,      0.107771 ,      0.047481 ,          -0.000000 ,          -0.000000
      MIRIM_TALYOT_UR ,      0.075041 ,      0.038296 ,      0.075041 ,      0.038296 ,           0.000000 ,          -0.000000
      MIRIM_TALYOT_LL ,      0.069419 ,      0.031939 ,      0.069419 ,      0.031939 ,          -0.000000 ,          -0.000000
      MIRIM_TALYOT_LR ,      0.052573 ,      0.033015 ,      0.052573 ,      0.033015 ,           0.000000 ,          -0.000000
     MIRIM_TALYOT_CUL ,      1.111344 ,      1.363719 ,      0.077251 ,      0.037067 ,          -1.034093 ,          -1.326652
     MIRIM_TALYOT_CUR ,      1.740989 ,      1.481664 ,      0.071715 ,      0.036921 ,          -1.669274 ,          -1.444744
     MIRIM_TALYOT_CLL ,      1.407036 ,      1.594357 ,      0.067654 ,      0.034053 ,          -1.339382 ,          -1.560304
     MIRIM_TALYOT_CLR ,      1.968998 ,      1.667150 ,      0.063510 ,      0.035443 ,          -1.905489 ,          -1.631707
      MIRIM_TA1550_UL ,      0.037760 ,      0.016969 ,      0.037760 ,      0.016969 ,           0.000000 ,          -0.000000
      MIRIM_TA1550_UR ,      0.029311 ,      0.018652 ,      0.029311 ,      0.018652 ,           0.000000 ,          -0.000000
      MIRIM_TA1550_LL ,      0.024790 ,      0.010487 ,      0.024790 ,      0.010487 ,           0.000000 ,          -0.000000
      MIRIM_TA1550_LR ,      0.020505 ,      0.012589 ,      0.020505 ,      0.012589 ,           0.000000 ,          -0.000000
     MIRIM_TA1550_CUL ,      1.394883 ,      1.825691 ,      0.028405 ,      0.015724 ,          -1.366478 ,          -1.809967
     MIRIM_TA1550_CUR ,      2.007119 ,      1.723632 ,      0.027804 ,      0.016653 ,          -1.979315 ,          -1.706979
     MIRIM_TA1550_CLL ,      1.691431 ,      2.094328 ,      0.025826 ,      0.014106 ,          -1.665605 ,          -2.080222
     MIRIM_TA1550_CLR ,      2.127732 ,      2.090258 ,      0.025377 ,      0.015182 ,          -2.102356 ,          -2.075077
      MIRIM_TA1140_UL ,      0.015790 ,      0.006569 ,      0.015790 ,      0.006569 ,           0.000000 ,           0.000000
      MIRIM_TA1140_UR ,      0.015138 ,      0.008454 ,      0.015138 ,      0.008454 ,           0.000000 ,          -0.000000
      MIRIM_TA1140_LL ,      0.010369 ,      0.004455 ,      0.010369 ,      0.004455 ,          -0.000000 ,           0.000000
      MIRIM_TA1140_LR ,      0.011871 ,      0.005067 ,      0.011871 ,      0.005067 ,           0.000000 ,          -0.000000
     MIRIM_TA1140_CUL ,      4.053942 ,      2.594526 ,      0.013461 ,      0.006558 ,          -4.040481 ,          -2.587969
     MIRIM_TA1140_CUR ,      3.919559 ,      1.851407 ,      0.014177 ,      0.007402 ,          -3.905382 ,          -1.844005
     MIRIM_TA1140_CLL ,      4.430102 ,      2.446434 ,      0.012192 ,      0.005757 ,          -4.417910 ,          -2.440678
     MIRIM_TA1140_CLR ,      1.759308 ,      2.115671 ,      0.013024 ,      0.006388 ,          -1.746284 ,          -2.109283
      MIRIM_TA1065_UL ,      0.008410 ,      0.002978 ,      0.008410 ,      0.002978 ,          -0.000000 ,           0.000000
      MIRIM_TA1065_UR ,      0.011829 ,      0.003201 ,      0.011829 ,      0.003201 ,           0.000000 ,          -0.000000
      MIRIM_TA1065_LL ,      0.015666 ,      0.001884 ,      0.015666 ,      0.001884 ,          -0.000000 ,           0.000000
