Reference:  277 apertures in PRDOPSSOC-031
Comparison: 277 apertures in pre_delivery

Number of modified apertures 2. Significant modifications are listed below.
Differences are reported for any text change
and fractional differences greater than 1e-06

Aperture                        Attribute             Reference            Comparison      Difference    Percent
MIRIM_TAMRS                       XDetRef                 997.5                1005.5        8.000000     0.7956
MIRIM_TAMRS                       YDetRef                 993.5                1001.5        8.000000     0.7988
MIRIM_TAMRS                      XSciSize                    48                    32       16.000000    33.3333
MIRIM_TAMRS                      YSciSize                    48                    32       16.000000    33.3333
MIRIM_TAMRS                       XSciRef                  24.5                  16.5        8.000000    32.6531
MIRIM_TAMRS                       YSciRef                  24.5                  16.5        8.000000    32.6531
MIRIM_TAMRS                     XSciScale            0.10993721            0.10994286        0.000006     0.0051
MIRIM_TAMRS                     YSciScale            0.11011089            0.11009618        0.000015     0.0134
MIRIM_TAMRS                         V2Ref           -482.167767           -482.964881        0.797114     0.1650
MIRIM_TAMRS                         V3Ref           -318.208391           -317.266274        0.942117     0.2961
MIRIM_TAMRS                     XIdlVert1               -2.6208               -1.7473        0.873500    33.3295
MIRIM_TAMRS                     XIdlVert2                2.6571                1.7712        0.885900    33.3409
MIRIM_TAMRS                     XIdlVert3                2.6212                1.7475        0.873700    33.3321
MIRIM_TAMRS                     XIdlVert4               -2.6544                 -1.77        0.884400    33.3183
MIRIM_TAMRS                     YIdlVert1               -2.6159               -1.7434        0.872500    33.3537
MIRIM_TAMRS                     YIdlVert2               -2.6715               -1.7806        0.890900    33.3483
MIRIM_TAMRS                     YIdlVert3                2.6143                1.7427        0.871600    33.3397
MIRIM_TAMRS                     YIdlVert4                2.6688                1.7794        0.889400    33.3258
MIRIM_TAMRS                    Sci2IdlX10    0.1099312078127036    0.1099367846462717        0.000006     0.0051
MIRIM_TAMRS                    Sci2IdlX11 -0.0007245477603006706 -0.0007246860643709615        0.000000     0.0191
MIRIM_TAMRS                    Sci2IdlX20 8.398809342377761e-07 8.630174116091314e-07        0.000000     2.6809
MIRIM_TAMRS                    Sci2IdlX21 -1.024882559113917e-06 -9.864422458555776e-07        0.000000     3.7507
MIRIM_TAMRS                    Sci2IdlX22 4.822006324075913e-07 5.063303731599652e-07        0.000000     4.7656
MIRIM_TAMRS                    Sci2IdlX30 5.096387520924359e-10 5.171255763721554e-10        0.000000     1.4478
MIRIM_TAMRS                    Sci2IdlX31 1.340754899676856e-09 1.363071457768207e-09        0.000000     1.6372
MIRIM_TAMRS                    Sci2IdlX32 1.034747936802477e-09 1.066464863044903e-09        0.000000     2.9740
MIRIM_TAMRS                    Sci2IdlX33 6.499189828200614e-10 6.604884799286276e-10        0.000000     1.6003
MIRIM_TAMRS                    Sci2IdlY10 -0.001148510770811162 -0.001156212899708734        0.000008     0.6662
MIRIM_TAMRS                    Sci2IdlY11    0.1101085090860828    0.1100937971405887        0.000015     0.0134
MIRIM_TAMRS                    Sci2IdlY20 -7.304812894700345e-07 -7.147124260683343e-07        0.000000     2.1587
MIRIM_TAMRS                    Sci2IdlY21 4.645551674944576e-07  5.00624650928449e-07        0.000000     7.2049
MIRIM_TAMRS                    Sci2IdlY22 -1.179708978001686e-06 -1.141486523492165e-06        0.000000     3.2400
MIRIM_TAMRS                    Sci2IdlY30 5.456699913282093e-10 5.547421300855844e-10        0.000000     1.6354
MIRIM_TAMRS                    Sci2IdlY31 3.047371840900301e-10 3.362423020935776e-10        0.000000     9.3698
MIRIM_TAMRS                    Sci2IdlY32 1.918101596619263e-09 1.949604346446045e-09        0.000000     1.6159
MIRIM_TAMRS                    Sci2IdlY33 9.152870720190685e-10 9.806821560859241e-10        0.000000     6.6683
MIRIM_TAMRS                    Idl2SciX10     9.097335568061938     9.096905376225852        0.000430     0.0047
