Reference:  277 apertures in PRDOPSSOC-M-024
Comparison: 277 apertures in pre_delivery

Number of modified apertures 277. Significant modifications are listed below.
Differences are reported for any text change
and fractional differences greater than 1e-06

Aperture                        Attribute             Reference            Comparison      Difference    Percent
MIRIM_MASK1550                    YSciRef                 109.5                 109.0        0.500000     0.4566
MIRIM_MASK1550                  XIdlVert1              -13.2028              -13.2024        0.000400     0.0030
MIRIM_MASK1550                  XIdlVert2                18.586               18.5862        0.000200     0.0011
MIRIM_MASK1550                  XIdlVert3               18.6759               18.6762        0.000300     0.0016
MIRIM_MASK1550                  XIdlVert4              -13.0211              -13.0207        0.000400     0.0031
MIRIM_MASK1550                  YIdlVert1              -12.1276              -12.0722        0.055400     0.4568
MIRIM_MASK1550                  YIdlVert2              -12.0687              -12.0131        0.055600     0.4607
MIRIM_MASK1550                  YIdlVert3               12.8125                12.868        0.055500     0.4313
MIRIM_MASK1550                  YIdlVert4               12.6801               12.7354        0.055300     0.4342

MIRIFU_CHANNEL1A                XIdlVert1                1.3806                1.3222        0.058400     4.2300
MIRIFU_CHANNEL1A                XIdlVert2               -1.9164               -1.8331        0.083300     4.3467
MIRIFU_CHANNEL1A                XIdlVert3               -1.4104               -1.3264        0.084000     5.9558
MIRIFU_CHANNEL1A                XIdlVert4                 1.914                1.8552        0.058800     3.0721
MIRIFU_CHANNEL1A                YIdlVert1                2.0782                  2.07        0.008200     0.3946
MIRIFU_CHANNEL1A                YIdlVert2                1.6127                1.6245        0.011800     0.7264
MIRIFU_CHANNEL1A                YIdlVert3               -2.1063               -2.0933        0.013000     0.6172
MIRIFU_CHANNEL1A                YIdlVert4               -1.5892               -1.5983        0.009100     0.5694

MIRIFU_1ASLICE01                XIdlVert1                1.6281                1.6164        0.011700     0.7186
MIRIFU_1ASLICE01                XIdlVert2               -1.7159               -1.6591        0.056800     3.3102
MIRIFU_1ASLICE01                XIdlVert3               -1.6918                -1.635        0.056800     3.3574
MIRIFU_1ASLICE01                XIdlVert4                1.6535                1.6418        0.011700     0.7076
MIRIFU_1ASLICE01                YIdlVert1                0.3195                0.3179        0.001600     0.5008
MIRIFU_1ASLICE01                YIdlVert2               -0.1526               -0.1446        0.008000     5.2425
MIRIFU_1ASLICE01                YIdlVert3               -0.3297               -0.3217        0.008000     2.4264
MIRIFU_1ASLICE01                YIdlVert4                0.1449                0.1432        0.001700     1.1732

MIRIFU_1ASLICE02                XIdlVert1                1.7179                1.6087        0.109200     6.3566
MIRIFU_1ASLICE02                XIdlVert2               -1.7248               -1.6805        0.044300     2.5684
MIRIFU_1ASLICE02                XIdlVert3               -1.7008               -1.6564        0.044400     2.6105
MIRIFU_1ASLICE02                XIdlVert4                1.7433                1.6341        0.109200     6.2640
MIRIFU_1ASLICE02                YIdlVert1                0.3334                0.3179        0.015500     4.6491
MIRIFU_1ASLICE02                YIdlVert2                -0.155               -0.1487        0.006300     4.0645
MIRIFU_1ASLICE02                YIdlVert3               -0.3322               -0.3258        0.006400     1.9266
MIRIFU_1ASLICE02                YIdlVert4                0.1589                0.1433        0.015600     9.8175

MIRIFU_1ASLICE03                XIdlVert1                1.7608                1.6853        0.075500     4.2878
MIRIFU_1ASLICE03                XIdlVert2               -1.6775               -1.6361        0.041400     2.4680
MIRIFU_1ASLICE03                XIdlVert3               -1.6534                -1.612        0.041400     2.5039
MIRIFU_1ASLICE03                XIdlVert4                1.7863                1.7107        0.075600     4.2322
MIRIFU_1ASLICE03                YIdlVert1                0.3408                  0.33        0.010800     3.1690
MIRIFU_1ASLICE03                YIdlVert2               -0.1494               -0.1435        0.005900     3.9491
MIRIFU_1ASLICE03                YIdlVert3               -0.3265               -0.3206        0.005900     1.8070
MIRIFU_1ASLICE03                YIdlVert4                0.1662                0.1554        0.010800     6.4982

MIRIFU_1ASLICE04                XIdlVert1                1.7159                1.6689        0.047000     2.7391
MIRIFU_1ASLICE04                XIdlVert2               -1.6719               -1.5874        0.084500     5.0541
MIRIFU_1ASLICE04                XIdlVert3               -1.6478               -1.5633        0.084500     5.1280
MIRIFU_1ASLICE04                XIdlVert4                1.7413                1.6943        0.047000     2.6991
MIRIFU_1ASLICE04                YIdlVert1                0.3355                0.3288        0.006700     1.9970
MIRIFU_1ASLICE04                YIdlVert2               -0.1498               -0.1377        0.012100     8.0774
MIRIFU_1ASLICE04                YIdlVert3               -0.3269               -0.3148        0.012100     3.7014
MIRIFU_1ASLICE04                YIdlVert4                0.1609                0.1542        0.006700     4.1641

MIRIFU_1ASLICE05                XIdlVert1                1.7067                1.6335        0.073200     4.2890
MIRIFU_1ASLICE05                XIdlVert2               -1.6715               -1.6051        0.066400     3.9725
MIRIFU_1ASLICE05                XIdlVert3               -1.6474                -1.581        0.066400     4.0306
MIRIFU_1ASLICE05                XIdlVert4                1.7321                1.6589        0.073200     4.2261
MIRIFU_1ASLICE05                YIdlVert1                0.3354                0.3249        0.010500     3.1306
MIRIFU_1ASLICE05                YIdlVert2               -0.1509               -0.1413        0.009600     6.3618
MIRIFU_1ASLICE05                YIdlVert3                -0.328               -0.3184        0.009600     2.9268
MIRIFU_1ASLICE05                YIdlVert4                0.1608                0.1502        0.010600     6.5920

MIRIFU_1ASLICE06                XIdlVert1                1.7312                1.6522        0.079000     4.5633
MIRIFU_1ASLICE06                XIdlVert2               -1.6795               -1.6485        0.031000     1.8458
MIRIFU_1ASLICE06                XIdlVert3               -1.6554               -1.6244        0.031000     1.8727
MIRIFU_1ASLICE06                XIdlVert4                1.7566                1.6776        0.079000     4.4973
MIRIFU_1ASLICE06                YIdlVert1                0.3401                0.3286        0.011500     3.3814
MIRIFU_1ASLICE06                YIdlVert2               -0.1532               -0.1487        0.004500     2.9373
MIRIFU_1ASLICE06                YIdlVert3               -0.3303               -0.3258        0.004500     1.3624
MIRIFU_1ASLICE06                YIdlVert4                0.1655                 0.154        0.011500     6.9486

MIRIFU_1ASLICE07                XIdlVert1                1.6999                1.6144        0.085500     5.0297
MIRIFU_1ASLICE07                XIdlVert2               -1.6812               -1.6461        0.035100     2.0878
MIRIFU_1ASLICE07                XIdlVert3               -1.6571                -1.622        0.035100     2.1182
MIRIFU_1ASLICE07                XIdlVert4                1.7254                1.6398        0.085600     4.9612
MIRIFU_1ASLICE07                YIdlVert1                0.3368                0.3243        0.012500     3.7114
MIRIFU_1ASLICE07                YIdlVert2               -0.1546               -0.1495        0.005100     3.2988
MIRIFU_1ASLICE07                YIdlVert3               -0.3317               -0.3266        0.005100     1.5375
MIRIFU_1ASLICE07                YIdlVert4                0.1622                0.1497        0.012500     7.7065

MIRIFU_1ASLICE08                XIdlVert1                1.7052                1.6241        0.081100     4.7560
MIRIFU_1ASLICE08                XIdlVert2               -1.7234               -1.6492        0.074200     4.3054
MIRIFU_1ASLICE08                XIdlVert3               -1.6993               -1.6251        0.074200     4.3665
MIRIFU_1ASLICE08                XIdlVert4                1.7306                1.6495        0.081100     4.6862
MIRIFU_1ASLICE08                YIdlVert1                0.3387                0.3269        0.011800     3.4839
MIRIFU_1ASLICE08                YIdlVert2               -0.1619                -0.151        0.010900     6.7326
MIRIFU_1ASLICE08                YIdlVert3                -0.339               -0.3281        0.010900     3.2153
MIRIFU_1ASLICE08                YIdlVert4                0.1642                0.1523        0.011900     7.2473

MIRIFU_1ASLICE09                XIdlVert1                1.7001                1.6144        0.085700     5.0409
MIRIFU_1ASLICE09                XIdlVert2               -1.7165               -1.6634        0.053100     3.0935
MIRIFU_1ASLICE09                XIdlVert3               -1.6925               -1.6393        0.053200     3.1433
MIRIFU_1ASLICE09                XIdlVert4                1.7256                1.6398        0.085800     4.9722
MIRIFU_1ASLICE09                YIdlVert1                0.3391                0.3265        0.012600     3.7157
MIRIFU_1ASLICE09                YIdlVert2               -0.1621               -0.1543        0.007800     4.8118
MIRIFU_1ASLICE09                YIdlVert3               -0.3392               -0.3314        0.007800     2.2995
MIRIFU_1ASLICE09                YIdlVert4                0.1645                0.1519        0.012600     7.6596

MIRIFU_1ASLICE10                XIdlVert1                1.7019                1.6294        0.072500     4.2599
MIRIFU_1ASLICE10                XIdlVert2               -1.7359               -1.6634        0.072500     4.1765
MIRIFU_1ASLICE10                XIdlVert3               -1.7119               -1.6393        0.072600     4.2409
MIRIFU_1ASLICE10                XIdlVert4                1.7273                1.6548        0.072500     4.1973
MIRIFU_1ASLICE10                YIdlVert1                0.3406                0.3299        0.010700     3.1415
MIRIFU_1ASLICE10                YIdlVert2               -0.1661               -0.1554        0.010700     6.4419
MIRIFU_1ASLICE10                YIdlVert3               -0.3432               -0.3325        0.010700     3.1177
MIRIFU_1ASLICE10                YIdlVert4                 0.166                0.1553        0.010700     6.4458

MIRIFU_1ASLICE11                XIdlVert1                1.6964                1.6456        0.050800     2.9946
