Reference:  189 apertures in outdated pre-delivery
Comparison: 189 apertures in new pre-delivery

Number of modified apertures 189. Significant modifications are listed below.
Differences are reported for any text change
and fractional differences greater than 1e-06

Aperture                        Attribute             Reference            Comparison      Difference    Percent
NRCA2_FULL_OSS                V3IdlYAngle               -0.2197           -0.21969952        0.000000     0.0002

NRCA4_FULL_OSS                V3IdlYAngle              0.088712            0.08871159        0.000000     0.0005

NRCA5_FULL_OSS                V3IdlYAngle             -0.073851           -0.07385127        0.000000     0.0004
NRCA5_FULL_OSS                V3SciYAngle             -0.073851           -0.07385127        0.000000     0.0004

NRCB5_FULL_OSS                V3IdlYAngle              0.008058            0.00805772        0.000000     0.0035

NRCALL_FULL                   V3IdlYAngle             -0.112551           -0.11255124        0.000000     0.0002

NRCA2_FULL                    V3IdlYAngle               -0.2197           -0.21969952        0.000000     0.0002
NRCA2_FULL                    V3SciYAngle               -0.2197           -0.21969952        0.000000     0.0002

NRCA4_FULL                    V3IdlYAngle              0.088712            0.08871159        0.000000     0.0005
NRCA4_FULL                    V3SciYAngle              0.088712            0.08871159        0.000000     0.0005

NRCA5_FULL                    V3IdlYAngle             -0.073851           -0.07385127        0.000000     0.0004
NRCA5_FULL                    V3SciYAngle             -0.073851           -0.07385127        0.000000     0.0004

NRCBS_FULL                    V3IdlYAngle              0.029849            0.02984889        0.000000     0.0004

NRCB5_FULL                    V3IdlYAngle              0.008058            0.00805772        0.000000     0.0035
NRCB5_FULL                    V3SciYAngle              0.008058            0.00805772        0.000000     0.0035

NRCB5_FULLP                   V3IdlYAngle              0.249558            0.24955826        0.000000     0.0001
NRCB5_FULLP                   V3SciYAngle              0.249558            0.24955826        0.000000     0.0001

NRCA2_SUB160                  V3IdlYAngle             -0.016874           -0.01687387        0.000000     0.0008
NRCA2_SUB160                  V3SciYAngle             -0.016874           -0.01687387        0.000000     0.0008

NRCA3_SUB160                  V3IdlYAngle             -0.005484            -0.0054844        0.000000     0.0073
NRCA3_SUB160                  V3SciYAngle             -0.005484            -0.0054844        0.000000     0.0073

NRCA5_SUB160                  V3IdlYAngle             -0.073851           -0.07385127        0.000000     0.0004
NRCA5_SUB160                  V3SciYAngle             -0.073851           -0.07385127        0.000000     0.0004

NRCB3_SUB160                  V3IdlYAngle             -0.071964           -0.07196372        0.000000     0.0004
NRCB3_SUB160                  V3SciYAngle             -0.071964           -0.07196372        0.000000     0.0004

NRCB4_SUB160                  V3IdlYAngle             -0.037941           -0.03794106        0.000000     0.0002
NRCB4_SUB160                  V3SciYAngle             -0.037941           -0.03794106        0.000000     0.0002

NRCB5_SUB160                  V3IdlYAngle             -0.017462           -0.01746234        0.000000     0.0019
NRCB5_SUB160                  V3SciYAngle             -0.017462           -0.01746234        0.000000     0.0019

NRCA2_SUB320                  V3IdlYAngle             -0.036328           -0.03632795        0.000000     0.0001
NRCA2_SUB320                  V3SciYAngle             -0.036328           -0.03632795        0.000000     0.0001

NRCA3_SUB320                  V3IdlYAngle              0.015777            0.01577689        0.000000     0.0007
NRCA3_SUB320                  V3SciYAngle              0.015777            0.01577689        0.000000     0.0007

NRCA4_SUB320                  V3IdlYAngle              -0.24695           -0.24695031        0.000000     0.0001
NRCA4_SUB320                  V3SciYAngle              -0.24695           -0.24695031        0.000000     0.0001

NRCA5_SUB320                  V3IdlYAngle             -0.073851           -0.07385127        0.000000     0.0004
NRCA5_SUB320                  V3SciYAngle             -0.073851           -0.07385127        0.000000     0.0004

NRCB1_SUB320                  V3IdlYAngle              0.185282            0.18528244        0.000000     0.0002
NRCB1_SUB320                  V3SciYAngle              0.185282            0.18528244        0.000000     0.0002

NRCB3_SUB320                  V3IdlYAngle             -0.105082           -0.10508225        0.000000     0.0002
NRCB3_SUB320                  V3SciYAngle             -0.105082           -0.10508225        0.000000     0.0002

NRCB4_SUB320                  V3IdlYAngle             -0.059169            -0.0591687        0.000000     0.0005
NRCB4_SUB320                  V3SciYAngle             -0.059169            -0.0591687        0.000000     0.0005

NRCB5_SUB320                  V3IdlYAngle             -0.017462           -0.01746234        0.000000     0.0019
NRCB5_SUB320                  V3SciYAngle             -0.017462           -0.01746234        0.000000     0.0019

NRCA2_SUB640                  V3IdlYAngle              -0.07406           -0.07406027        0.000000     0.0004
NRCA2_SUB640                  V3SciYAngle              -0.07406           -0.07406027        0.000000     0.0004

NRCA3_SUB640                  V3IdlYAngle              0.059518            0.05951845        0.000000     0.0008
NRCA3_SUB640                  V3SciYAngle              0.059518            0.05951845        0.000000     0.0008

NRCA4_SUB640                  V3IdlYAngle             -0.181149           -0.18114878        0.000000     0.0001
NRCA4_SUB640                  V3SciYAngle             -0.181149           -0.18114878        0.000000     0.0001

NRCA5_SUB640                  V3IdlYAngle             -0.073851           -0.07385127        0.000000     0.0004
NRCA5_SUB640                  V3SciYAngle             -0.073851           -0.07385127        0.000000     0.0004

NRCB5_SUB640                  V3IdlYAngle             -0.017462           -0.01746234        0.000000     0.0019
NRCB5_SUB640                  V3SciYAngle             -0.017462           -0.01746234        0.000000     0.0019

NRCA5_GRISM256_F444W              XDetRef                1162.0                1097.0       65.000000     5.5938
NRCA5_GRISM256_F444W              XSciRef                 887.0                 952.0       65.000000     6.8277
NRCA5_GRISM256_F444W            XSciScale            0.06356843            0.06358032        0.000012     0.0187
NRCA5_GRISM256_F444W            YSciScale            0.06420068            0.06421458        0.000014     0.0216
NRCA5_GRISM256_F444W                V2Ref             94.957742             90.825526        4.132216     4.3516
NRCA5_GRISM256_F444W                V3Ref           -556.255455           -556.284754        0.029299     0.0053
NRCA5_GRISM256_F444W          V3IdlYAngle             -0.362141           -0.30737728        0.054764    15.1222
NRCA5_GRISM256_F444W          V3SciXAngle            -90.418714          -90.39378714        0.024927     0.0276
NRCA5_GRISM256_F444W          V3SciYAngle             -0.362141           -0.30737728        0.054764    15.1222
NRCA5_GRISM256_F444W            XIdlVert1               -56.396              -60.5302        4.134200     6.8300
NRCA5_GRISM256_F444W            XIdlVert2               74.1509               70.0166        4.134300     5.5755
NRCA5_GRISM256_F444W            XIdlVert3                73.865               69.7465        4.118500     5.5757
