Reference:  206 apertures in PRDOPSSOC-029
Comparison: 206 apertures in new pre-delivery

Number of modified apertures 206. Significant modifications are listed below.
Differences are reported for any text change
and fractional differences greater than 1e-06

Aperture                        Attribute             Reference            Comparison      Difference    Percent
NRCA5_TAGRISMTS32                 XDetRef                 821.0                 820.5        0.500000     0.0609
NRCA5_TAGRISMTS32                 YDetRef                 110.0                 110.5        0.500000     0.4525
NRCA5_TAGRISMTS32                 XSciRef                  16.0                  16.5        0.500000     3.0303
NRCA5_TAGRISMTS32                 YSciRef                  16.0                  16.5        0.500000     3.0303
NRCA5_TAGRISMTS32               XSciScale            0.06358973            0.06358945        0.000000     0.0004
NRCA5_TAGRISMTS32               YSciScale            0.06417214            0.06417155        0.000001     0.0009
NRCA5_TAGRISMTS32                   V2Ref             73.261869             73.230038        0.031831     0.0434
NRCA5_TAGRISMTS32                   V3Ref           -551.572109           -551.540173        0.031936     0.0058
NRCA5_TAGRISMTS32             V3IdlYAngle           -0.06506641           -0.06458732        0.000479     0.7363
NRCA5_TAGRISMTS32             V3SciXAngle          -90.26893788          -90.26861152        0.000326     0.0004
NRCA5_TAGRISMTS32             V3SciYAngle           -0.06506641           -0.06458732        0.000479     0.7363
NRCA5_TAGRISMTS32               XIdlVert1               -0.9858               -1.0176        0.031800     3.1250
NRCA5_TAGRISMTS32               XIdlVert2                1.0495                1.0177        0.031800     3.0300
NRCA5_TAGRISMTS32               XIdlVert3                 1.049                1.0172        0.031800     3.0315
NRCA5_TAGRISMTS32               XIdlVert4               -0.9854               -1.0172        0.031800     3.1262
NRCA5_TAGRISMTS32               YIdlVert1               -0.9912               -1.0232        0.032000     3.1274
NRCA5_TAGRISMTS32               YIdlVert2               -0.9986               -1.0306        0.032000     3.1050
NRCA5_TAGRISMTS32               YIdlVert3                 1.055                1.0231        0.031900     3.0237
NRCA5_TAGRISMTS32               YIdlVert4                1.0621                1.0302        0.031900     3.0035
NRCA5_TAGRISMTS32              Sci2IdlX10   0.06358932942208465   0.06358905098034946        0.000000     0.0004
NRCA5_TAGRISMTS32              Sci2IdlX20 1.874240150334464e-07 1.875728375761376e-07        0.000000     0.0793
NRCA5_TAGRISMTS32              Sci2IdlX21 -9.281524534891378e-07 -9.280374834840012e-07        0.000000     0.0124
NRCA5_TAGRISMTS32              Sci2IdlX22 -7.256685985415849e-08 -7.251214357310134e-08        0.000000     0.0754
NRCA5_TAGRISMTS32              Sci2IdlX31 -1.718417622452399e-11 -1.720856725326836e-11        0.000000     0.1417
NRCA5_TAGRISMTS32              Sci2IdlX32 1.297703697527732e-10 1.297444952162814e-10        0.000000     0.0199
NRCA5_TAGRISMTS32              Sci2IdlX33  -2.6564671068437e-12 -2.664595482577759e-12        0.000000     0.3051
NRCA5_TAGRISMTS32              Sci2IdlX40 4.987501196998942e-15  4.99948558701487e-15        0.000000     0.2397
