Reference:  320 apertures in PRDOPSSOC-045-003
Comparison: 320 apertures in pre-delivery

Number of modified apertures 48. Significant modifications are listed below.
Differences are reported for any text change
and fractional differences greater than 1e-06

Aperture                        Attribute             Reference            Comparison      Difference    Percent
NRCA2_MASK210R                    XDetRef                 712.1                 712.7        0.600000     0.0842
NRCA2_MASK210R                    YDetRef                 531.5                 533.3        1.800000     0.3375
NRCA2_MASK210R                    XSciRef                 321.1                 321.7        0.600000     0.1865
NRCA2_MASK210R                    YSciRef                 332.5                 330.7        1.800000     0.5414
NRCA2_MASK210R                  XSciScale            0.03054072            0.03054089        0.000000     0.0006
NRCA2_MASK210R                  YSciScale            0.03084708            0.03084732        0.000000     0.0008
NRCA2_MASK210R                      V2Ref             127.33826            127.319904        0.018356     0.0144
NRCA2_MASK210R                      V3Ref           -405.147705            -405.20335        0.055645     0.0137
NRCA2_MASK210R                V3IdlYAngle            0.03273994            0.03193117        0.000809     2.4703
NRCA2_MASK210R                V3SciXAngle          -90.37560171          -90.37530409        0.000298     0.0003
NRCA2_MASK210R                V3SciYAngle            0.03273994            0.03193117        0.000809     2.4703
NRCA2_MASK210R                  XIdlVert1               -9.8181               -9.8363        0.018200     0.1850
NRCA2_MASK210R                  XIdlVert2                9.7574                9.7392        0.018200     0.1865
NRCA2_MASK210R                  XIdlVert3                9.7254                9.7069        0.018500     0.1902
NRCA2_MASK210R                  XIdlVert4               -9.8089               -9.8274        0.018500     0.1882
NRCA2_MASK210R                  YIdlVert1                -10.16              -10.1044        0.055600     0.5472
NRCA2_MASK210R                  YIdlVert2              -10.3038               -10.248        0.055800     0.5415
NRCA2_MASK210R                  YIdlVert3                9.4309                9.4867        0.055800     0.5882
NRCA2_MASK210R                  YIdlVert4                9.5777                9.6332        0.055500     0.5761
NRCA2_MASK210R                 Sci2IdlX10   0.03053994043800179    0.0305401164278006        0.000000     0.0006
NRCA2_MASK210R                 Sci2IdlX20 -2.851483279780583e-08 -2.840473123128051e-08        0.000000     0.3861
NRCA2_MASK210R                 Sci2IdlX21 -1.148622210877267e-07 -1.152187356561794e-07        0.000000     0.3094
NRCA2_MASK210R                 Sci2IdlX22 -1.406513309134887e-07 -1.396046090370699e-07        0.000000     0.7442
NRCA2_MASK210R                 Sci2IdlX30 3.686329980791101e-11 3.677388384081864e-11        0.000000     0.2426
NRCA2_MASK210R                 Sci2IdlX31 -2.536626980973915e-11 -2.533993053488952e-11        0.000000     0.1038
NRCA2_MASK210R                 Sci2IdlX32 9.092402273546565e-11 9.025423503980736e-11        0.000000     0.7366
NRCA2_MASK210R                 Sci2IdlX33 -1.840091801561593e-10 -1.831777956807168e-10        0.000000     0.4518
NRCA2_MASK210R                 Sci2IdlX40 -1.053327540338118e-14 -1.051484114653146e-14        0.000000     0.1750
NRCA2_MASK210R                 Sci2IdlX41 3.562372197592353e-14 3.556525899032039e-14        0.000000     0.1641
NRCA2_MASK210R                 Sci2IdlX42 1.046039753761157e-14 1.040559718025795e-14        0.000000     0.5239
NRCA2_MASK210R                 Sci2IdlX43 1.267744188211341e-13 1.264374473367513e-13        0.000000     0.2658
NRCA2_MASK210R                 Sci2IdlX44 -1.047865241433082e-13 -1.045753359602697e-13        0.000000     0.2015
NRCA2_MASK210R                 Sci2IdlX50 -4.897495782752346e-19 -4.897900078662404e-19        0.000000     0.0083
NRCA2_MASK210R                 Sci2IdlX51 -1.100001666187067e-17 -1.099999320845459e-17        0.000000     0.0002
NRCA2_MASK210R                 Sci2IdlX52 8.859502452924705e-18 8.859453838883347e-18        0.000000     0.0005
NRCA2_MASK210R                 Sci2IdlX53 1.303474422308103e-17 1.303454686197256e-17        0.000000     0.0015
NRCA2_MASK210R                 Sci2IdlX54 4.913556904233352e-17 4.913587548303518e-17        0.000000     0.0006
