Reference:  379 apertures in PRDOPSSOC-063
Comparison: 379 apertures in pre-delivery

Number of modified apertures 379. Significant modifications are listed below.
Differences are reported for any text change
and fractional differences greater than 1e-06

Aperture                        Attribute             Reference            Comparison      Difference    Percent
NRCA1_FULL_OSS                  XSciScale            0.03113342            0.03113269        0.000001     0.0023
NRCA1_FULL_OSS                  YSciScale            0.03132005            0.03131901        0.000001     0.0033
NRCA1_FULL_OSS                      V2Ref            120.620865            120.576793        0.044072     0.0365
NRCA1_FULL_OSS                      V3Ref           -527.541137           -527.501431        0.039706     0.0075
NRCA1_FULL_OSS                V3IdlYAngle           -0.54644233           -0.55337899        0.006937     1.2535
NRCA1_FULL_OSS                V3SciXAngle           89.50603451           89.49875556        0.007279     0.0081
NRCA1_FULL_OSS                V3SciYAngle           -0.54644233           -0.55337899        0.006937     1.2535
NRCA1_FULL_OSS                  XIdlVert1              -32.0861              -32.0862        0.000100     0.0003
NRCA1_FULL_OSS                  XIdlVert2               32.1692               32.1683        0.000900     0.0028
NRCA1_FULL_OSS                  XIdlVert3               31.7202               31.7187        0.001500     0.0047
NRCA1_FULL_OSS                  XIdlVert4              -31.6492              -31.6483        0.000900     0.0028
NRCA1_FULL_OSS                  YIdlVert1              -32.1906              -32.1904        0.000200     0.0006
NRCA1_FULL_OSS                  YIdlVert2              -32.1744               -32.174        0.000400     0.0012
NRCA1_FULL_OSS                  YIdlVert3               31.9428               31.9415        0.001300     0.0041
NRCA1_FULL_OSS                  YIdlVert4               32.0783               32.0766        0.001700     0.0053
NRCA1_FULL_OSS                 Sci2IdlX10        0.031133408269   0.03113267779948561        0.000001     0.0023
NRCA1_FULL_OSS                 Sci2IdlX20 -2.493334061200041e-10 -2.493702274734753e-09        0.000000    90.0015
NRCA1_FULL_OSS                 Sci2IdlX21     -2.1161135344e-07 -2.108395643108265e-07        0.000000     0.3647
NRCA1_FULL_OSS                 Sci2IdlX22      3.4408902939e-08 3.251273945167191e-08        0.000000     5.5107
NRCA1_FULL_OSS                 Sci2IdlX30      1.1541354586e-11 1.264696763461179e-11        0.000000     8.7421
NRCA1_FULL_OSS                 Sci2IdlX31     -1.7808199007e-12 -9.37830957091865e-13        0.000000    47.3371
NRCA1_FULL_OSS                 Sci2IdlX32      1.2743077579e-11 1.373555294283243e-11        0.000000     7.2256
NRCA1_FULL_OSS                 Sci2IdlX33 -1.772386252099999e-12 -2.736619471026891e-12        0.000000    35.2345
NRCA1_FULL_OSS                 Sci2IdlX40      1.1303055513e-15 2.574892094006874e-15        0.000000    56.1028
NRCA1_FULL_OSS                 Sci2IdlX41 4.653697412699998e-16 -3.239405456009048e-16        0.000000   169.6093
NRCA1_FULL_OSS                 Sci2IdlX42      1.2111665219e-15 1.955609634049417e-15        0.000000    38.0671
NRCA1_FULL_OSS                 Sci2IdlX43 -7.047351420999994e-17 -3.885446550643793e-16        0.000000    81.8622
NRCA1_FULL_OSS                 Sci2IdlX44 1.100146944100004e-16 1.504043897034124e-15        0.000000    92.6854
NRCA1_FULL_OSS                 Sci2IdlX50     -3.6724878743e-19 -1.833048941409852e-18        0.000000    79.9651
NRCA1_FULL_OSS                 Sci2IdlX51      4.6162787549e-19 -6.446414668585037e-19        0.000000   171.6100
NRCA1_FULL_OSS                 Sci2IdlX52 -7.846161185600001e-19 -5.074255469803281e-20        0.000000    93.5328
NRCA1_FULL_OSS                 Sci2IdlX53      -8.848516495e-19  6.72467649887951e-20        0.000000   107.5998
NRCA1_FULL_OSS                 Sci2IdlX54      6.9175570534e-19 -5.998691505145648e-19        0.000000   186.7169
NRCA1_FULL_OSS                 Sci2IdlX55      1.1326178799e-18 1.478376909931736e-18        0.000000    23.3877
NRCA1_FULL_OSS                 Sci2IdlY10 -2.851490051000006e-05 -2.832824321537312e-05        0.000000     0.6546
