Reference:  189 apertures in PRDOPSSOC-H-015
Comparison: 189 apertures in new pre-delivery

Number of modified apertures 189. Significant modifications are listed below.
Differences are reported for any text change
and fractional differences greater than 1e-06

Aperture                        Attribute             Reference            Comparison      Difference    Percent
NRCA1_FULL_OSS                  XIdlVert1              -32.0902              -32.0906        0.000400     0.0012
NRCA1_FULL_OSS                  XIdlVert2               32.1636               32.1682        0.004600     0.0143
NRCA1_FULL_OSS                  XIdlVert3               31.7225               31.7234        0.000900     0.0028
NRCA1_FULL_OSS                  XIdlVert4              -31.6619              -31.6586        0.003300     0.0104
NRCA1_FULL_OSS                  YIdlVert1              -32.1889              -32.1904        0.001500     0.0047
NRCA1_FULL_OSS                  YIdlVert2              -32.1639              -32.1683        0.004400     0.0137
NRCA1_FULL_OSS                  YIdlVert3               31.9458               31.9456        0.000200     0.0006
NRCA1_FULL_OSS                  YIdlVert4               32.0853               32.0823        0.003000     0.0094
NRCA1_FULL_OSS                 Idl2SciX10      32.1116137279107     32.11322559593065        0.001612     0.0050
NRCA1_FULL_OSS                 Idl2SciX11     0.321749328792531 0.0008160809989539164        0.320933    99.7464
NRCA1_FULL_OSS                 Idl2SciX20  2.87873762883695e-05 9.724034450877213e-05        0.000068    70.3956
NRCA1_FULL_OSS                 Idl2SciX21   0.00686063874669811  0.006837758463837719        0.000023     0.3335
NRCA1_FULL_OSS                 Idl2SciX22  -0.00104742588056064 -0.001115878848781024        0.000068     6.1344
NRCA1_FULL_OSS                 Idl2SciX30 -1.10679433047344e-05 -1.10481784349189e-05        0.000000     0.1786
NRCA1_FULL_OSS                 Idl2SciX31  1.90380764345342e-06 2.051345664069224e-06        0.000000     7.1923
NRCA1_FULL_OSS                 Idl2SciX32 -9.18991783496471e-06 -9.22196200616847e-06        0.000000     0.3475
NRCA1_FULL_OSS                 Idl2SciX33  2.03694305344433e-07 2.956980391507066e-07        0.000000    31.1141
NRCA1_FULL_OSS                 Idl2SciX40 -2.49836466272716e-08 -2.484452656335201e-08        0.000000     0.5568
NRCA1_FULL_OSS                 Idl2SciX41  1.37321092602609e-08 1.410781167421672e-08        0.000000     2.6631
NRCA1_FULL_OSS                 Idl2SciX42 -3.10395358398713e-08 -3.102494469653281e-08        0.000000     0.0470
NRCA1_FULL_OSS                 Idl2SciX43  1.41977364756253e-08 1.461538458754654e-08        0.000000     2.8576
NRCA1_FULL_OSS                 Idl2SciX44 -4.99702641839091e-09 -5.141010196756652e-09        0.000000     2.8007
NRCA1_FULL_OSS                 Idl2SciX50 -1.36338187592617e-10 -1.362431486539601e-10        0.000000     0.0697
NRCA1_FULL_OSS                 Idl2SciX51  8.93098981844158e-12 1.008733223577517e-11        0.000000    11.4633
NRCA1_FULL_OSS                 Idl2SciX52 -2.82852818471083e-10 -2.828953548052546e-10        0.000000     0.0150
NRCA1_FULL_OSS                 Idl2SciX53  9.89151752053818e-12 1.262955875773536e-11        0.000000    21.6796
NRCA1_FULL_OSS                 Idl2SciX54  -1.4361326405304e-10 -1.437148567903495e-10        0.000000     0.0707
NRCA1_FULL_OSS                 Idl2SciX55  1.75341786893915e-12 3.189206432092133e-12        0.000000    45.0202
NRCA1_FULL_OSS                 Idl2SciY10    -0.292419164906149   0.02663664038825991        0.319056   109.1091
NRCA1_FULL_OSS                 Idl2SciY11      31.9238996467439     31.92522776916041        0.001328     0.0042
NRCA1_FULL_OSS                 Idl2SciY20  -0.00217894657296916 -0.002166687441413234        0.000012     0.5626
NRCA1_FULL_OSS                 Idl2SciY21   0.00115820766246935  0.001295016176828587        0.000137    10.5642
NRCA1_FULL_OSS                 Idl2SciY22   0.00467763728327418  0.004665378151718303        0.000012     0.2621
NRCA1_FULL_OSS                 Idl2SciY30  6.17241685096799e-07  5.03408521475025e-07        0.000000    18.4422
NRCA1_FULL_OSS                 Idl2SciY31 -1.14055930463954e-05 -1.137442632848125e-05        0.000000     0.2733
NRCA1_FULL_OSS                 Idl2SciY32  2.43265983653211e-06  2.36656603594446e-06        0.000000     2.7169
NRCA1_FULL_OSS                 Idl2SciY33 -9.78586542353402e-06 -9.809848202244836e-06        0.000000     0.2445
NRCA1_FULL_OSS                 Idl2SciY40  5.54346529990533e-09 5.321933907107562e-09        0.000000     3.9963
NRCA1_FULL_OSS                 Idl2SciY41 -2.23074986931004e-08 -2.202399264069363e-08        0.000000     1.2709
NRCA1_FULL_OSS                 Idl2SciY42  2.50424776912594e-08 2.505495633411715e-08        0.000000     0.0498
NRCA1_FULL_OSS                 Idl2SciY43 -2.18784085012889e-08 -2.162078226815308e-08        0.000000     1.1775
NRCA1_FULL_OSS                 Idl2SciY44  1.88600318834832e-08 1.907740372866144e-08        0.000000     1.1394
NRCA1_FULL_OSS                 Idl2SciY50  1.69616991336196e-12 2.550110742984486e-13        0.000000    84.9655
NRCA1_FULL_OSS                 Idl2SciY51 -1.44261206709343e-10 -1.441412706029028e-10        0.000000     0.0831
NRCA1_FULL_OSS                 Idl2SciY52  9.76249811377003e-12 7.115100873460385e-12        0.000000    27.1180
NRCA1_FULL_OSS                 Idl2SciY53 -2.80577242574841e-10 -2.805575149719709e-10        0.000000     0.0070
NRCA1_FULL_OSS                 Idl2SciY54  7.38364140756065e-12 6.261424851887065e-12        0.000000    15.1987
NRCA1_FULL_OSS                 Idl2SciY55 -1.34650945598277e-10 -1.347191329596357e-10        0.000000     0.0506

NRCA2_FULL_OSS                V3IdlYAngle               -0.2197           -0.21969952        0.000000     0.0002
NRCA2_FULL_OSS                  XIdlVert1                31.358               31.3615        0.003500     0.0112
NRCA2_FULL_OSS                  XIdlVert2              -31.2893              -31.2889        0.000400     0.0013
NRCA2_FULL_OSS                  XIdlVert3              -31.6377              -31.6354        0.002300     0.0073
NRCA2_FULL_OSS                  XIdlVert4               31.6953                31.697        0.001700     0.0054
NRCA2_FULL_OSS                  YIdlVert1               31.5946               31.5984        0.003800     0.0120
NRCA2_FULL_OSS                  YIdlVert2               31.6037               31.6051        0.001400     0.0044
NRCA2_FULL_OSS                  YIdlVert3               -31.668              -31.6655        0.002500     0.0079
