Reference:  202 apertures in PRDOPSSOC-M-026
Comparison: 202 apertures in new pre-delivery

Number of modified apertures 202. Significant modifications are listed below.
Differences are reported for any text change
and fractional differences greater than 1e-06

Aperture                        Attribute             Reference            Comparison      Difference    Percent
NRCA2_MASK210R                    XDetRef                 743.5                 712.0       31.500000     4.2367
NRCA2_MASK210R                    YDetRef                 571.0                 528.0       43.000000     7.5306
NRCA2_MASK210R                    XSciRef                 320.5                 321.0        0.500000     0.1558
NRCA2_MASK210R                    YSciRef                 321.0                 336.0       15.000000     4.4643
NRCA2_MASK210R                  XSciScale            0.03066573            0.03065967        0.000006     0.0198
NRCA2_MASK210R                  YSciScale            0.03075885            0.03075228        0.000007     0.0214
NRCA2_MASK210R                      V2Ref            127.174813            128.135027        0.960214     0.7494
NRCA2_MASK210R                      V3Ref           -405.228698           -403.900413        1.328285     0.3278
NRCA2_MASK210R                V3IdlYAngle           -0.24303541           -0.24593673        0.002901     1.1797
NRCA2_MASK210R                V3SciXAngle          -90.34042935          -90.34874381        0.008314     0.0092
NRCA2_MASK210R                V3SciYAngle           -0.24303541           -0.24593673        0.002901     1.1797
NRCA2_MASK210R                  XIdlVert1               -9.8337               -9.8483        0.014600     0.1482
NRCA2_MASK210R                  XIdlVert2                 9.825                9.8078        0.017200     0.1751
NRCA2_MASK210R                  XIdlVert3                9.7935                9.7773        0.016200     0.1654
NRCA2_MASK210R                  XIdlVert4               -9.8028               -9.8168        0.014000     0.1426
NRCA2_MASK210R                  YIdlVert1               -9.8366              -10.2953        0.458700     4.4554
NRCA2_MASK210R                  YIdlVert2               -9.8764               -10.337        0.460600     4.4558
NRCA2_MASK210R                  YIdlVert3                9.8168                 9.353        0.463800     4.7246
NRCA2_MASK210R                  YIdlVert4                9.8445                9.3831        0.461400     4.6869
NRCA2_MASK210R                 Sci2IdlX10   0.03066568569589101   0.03065961842944642        0.000006     0.0198
NRCA2_MASK210R                 Sci2IdlX20 -6.61805797789089e-09 -7.787828589834662e-09        0.000000    15.0205
NRCA2_MASK210R                 Sci2IdlX21 -1.523133652601427e-07 -1.51108368411243e-07        0.000000     0.7911
NRCA2_MASK210R                 Sci2IdlX22 -3.721585846374622e-08 -3.770653830264337e-08        0.000000     1.3013
NRCA2_MASK210R                 Sci2IdlX30 1.064421607291445e-11 1.079056184702399e-11        0.000000     1.3562
NRCA2_MASK210R                 Sci2IdlX31 -3.463477893217346e-12 -3.62708039211473e-12        0.000000     4.5106
NRCA2_MASK210R                 Sci2IdlX32 1.135103391306999e-11  1.15136127660874e-11        0.000000     1.4121
NRCA2_MASK210R                 Sci2IdlX33 -1.008166656743375e-12 -1.068117390535827e-12        0.000000     5.6127
NRCA2_MASK210R                 Sci2IdlX40 -9.162634222923221e-16 -9.380911483804433e-16        0.000000     2.3268
NRCA2_MASK210R                 Sci2IdlX41 6.729340511318495e-16 6.966470212813844e-16        0.000000     3.4039
NRCA2_MASK210R                 Sci2IdlX42 -1.130502454538387e-15 -1.156828272729615e-15        0.000000     2.2757
NRCA2_MASK210R                 Sci2IdlX43 6.879970348055992e-16 7.124662752227638e-16        0.000000     3.4344
NRCA2_MASK210R                 Sci2IdlX44 -2.14628420771954e-16 -2.19224824475675e-16        0.000000     2.0967
NRCA2_MASK210R                 Sci2IdlX50 1.413148102894982e-19 1.413146507717247e-19        0.000000     0.0001
NRCA2_MASK210R                 Sci2IdlX51 1.033644814708976e-20 1.032842060839728e-20        0.000000     0.0777
NRCA2_MASK210R                 Sci2IdlX52 2.904167603624924e-19 2.904160090990599e-19        0.000000     0.0003
NRCA2_MASK210R                 Sci2IdlX53 9.182500217403575e-21 9.167452390824055e-21        0.000000     0.1639
NRCA2_MASK210R                 Sci2IdlX54 1.454191960251235e-19 1.454186574965093e-19        0.000000     0.0004
NRCA2_MASK210R                 Sci2IdlX55 1.506770615713166e-22 1.437405712749915e-22        0.000000     4.6035
NRCA2_MASK210R                 Sci2IdlY10 -5.212696006395967e-05 -5.501328821523358e-05        0.000003     5.2466
NRCA2_MASK210R                 Sci2IdlY11   0.03075885449122905   0.03075228153142493        0.000007     0.0214
NRCA2_MASK210R                 Sci2IdlY20 9.007652953017328e-08 9.067096130658787e-08        0.000000     0.6556
NRCA2_MASK210R                 Sci2IdlY21 2.967595924940569e-08  2.86667203906824e-08        0.000000     3.4009
NRCA2_MASK210R                 Sci2IdlY22 -6.654383718850562e-08 -6.493958841127159e-08        0.000000     2.4108
NRCA2_MASK210R                 Sci2IdlY30 -1.455354533400125e-12 -1.52517156325662e-12        0.000000     4.5777
NRCA2_MASK210R                 Sci2IdlY31 1.046648554595917e-11 1.064964051808168e-11        0.000000     1.7198
NRCA2_MASK210R                 Sci2IdlY32 -3.827267450616712e-12 -3.997303663103452e-12        0.000000     4.2538
NRCA2_MASK210R                 Sci2IdlY33 1.140461462858336e-11 1.158732253314964e-11        0.000000     1.5768
NRCA2_MASK210R                 Sci2IdlY40 2.921123346873066e-16  2.98385993127505e-16        0.000000     2.1025
NRCA2_MASK210R                 Sci2IdlY41 -7.61790957867781e-16 -7.804550784314349e-16        0.000000     2.3914
NRCA2_MASK210R                 Sci2IdlY42 1.266019807846064e-15  1.30289447406346e-15        0.000000     2.8302
NRCA2_MASK210R                 Sci2IdlY43 -6.868758780120058e-16 -7.037327495329383e-16        0.000000     2.3954
NRCA2_MASK210R                 Sci2IdlY44 9.206703747281271e-16 9.497757634517415e-16        0.000000     3.0644
NRCA2_MASK210R                 Sci2IdlY50 3.146609618069192e-21 3.153765449567644e-21        0.000000     0.2269
NRCA2_MASK210R                 Sci2IdlY51 1.585291094961099e-19 1.585296327052552e-19        0.000000     0.0003
NRCA2_MASK210R                 Sci2IdlY52 1.482874111940318e-20 1.484344709312383e-20        0.000000     0.0991
NRCA2_MASK210R                 Sci2IdlY53 2.971671281419211e-19 2.971675927402272e-19        0.000000     0.0002
NRCA2_MASK210R                 Sci2IdlY54 1.063128435361259e-20 1.063864801154605e-20        0.000000     0.0692
NRCA2_MASK210R                 Idl2SciX00  -0.05148880121871002   -0.0519467914070546        0.000458     0.8817
NRCA2_MASK210R                 Idl2SciX10     32.61031585817219     32.61670611277135        0.006390     0.0196
NRCA2_MASK210R                 Idl2SciX11 2.431114586812222e-05 8.042630059110212e-05        0.000056    69.7721
NRCA2_MASK210R                 Idl2SciX20 0.0002698148584312324 0.0003114109169874026        0.000042    13.3573
NRCA2_MASK210R                 Idl2SciX21  0.005269206694268534  0.005230055151726322        0.000039     0.7430
NRCA2_MASK210R                 Idl2SciX22  0.001303280785446628  0.001321209457310545        0.000018     1.3570
NRCA2_MASK210R                 Idl2SciX30 -1.266669016694069e-05 -1.282521826381281e-05        0.000000     1.2361
NRCA2_MASK210R                 Idl2SciX31 3.629897062102283e-06 3.816635434032977e-06        0.000000     4.8927
NRCA2_MASK210R                 Idl2SciX32 -1.193001151455163e-05 -1.212819709081711e-05        0.000000     1.6341
NRCA2_MASK210R                 Idl2SciX33 1.492329808149671e-06 1.551097994680379e-06        0.000000     3.7888
NRCA2_MASK210R                 Idl2SciX40 2.958205221723294e-08   3.0229178317547e-08        0.000000     2.1407
NRCA2_MASK210R                 Idl2SciX41 -3.196683196536143e-08 -3.267635569693617e-08        0.000000     2.1714
NRCA2_MASK210R                 Idl2SciX42 3.503139941279751e-08 3.580563265152509e-08        0.000000     2.1623
NRCA2_MASK210R                 Idl2SciX43 -3.233440892779819e-08 -3.307072039294436e-08        0.000000     2.2265
NRCA2_MASK210R                 Idl2SciX44 5.186714553458117e-09 5.306877466136488e-09        0.000000     2.2643
NRCA2_MASK210R                 Idl2SciX50 -1.362988649278444e-10 -1.362983774981738e-10        0.000000     0.0004
NRCA2_MASK210R                 Idl2SciX51 -9.622924569112672e-12 -9.628784334322967e-12        0.000000     0.0609
NRCA2_MASK210R                 Idl2SciX53 -1.145235568358966e-11 -1.146622956308069e-11        0.000000     0.1210
NRCA2_MASK210R                 Idl2SciX54 -1.43668739388936e-10 -1.436692518591992e-10        0.000000     0.0004
NRCA2_MASK210R                 Idl2SciX55 -2.556007355257896e-12 -2.563282400969113e-12        0.000000     0.2838
NRCA2_MASK210R                 Idl2SciY00   0.02105784187597237   0.02146764634926512        0.000410     1.9089
NRCA2_MASK210R                 Idl2SciY10   0.05623860897369906   0.05935804603781816        0.003119     5.2553
NRCA2_MASK210R                 Idl2SciY11     32.51202918359816     32.51891370666056        0.006885     0.0212
NRCA2_MASK210R                 Idl2SciY20 -0.003120895527732721 -0.003142966351161475        0.000022     0.7022
NRCA2_MASK210R                 Idl2SciY21 -0.000987056952423888 -0.0009522468264829725        0.000035     3.5267
