Reference:  305 apertures in PRDOPSSOC-034 (index 0 in table below)
Comparison: 305 apertures in pre-delivery (index 1 in table below)

                  AperName , siaf0_dx_mean , siaf0_dy_mean , siaf1_dx_mean , siaf1_dy_mean , difference_dx_mean , difference_dy_mean
            NRCA1_FULL_OSS ,      0.021213 ,      0.018763 ,      0.088101 ,      0.122556 ,           0.066889 ,           0.103793
            NRCA2_FULL_OSS ,      0.027538 ,      0.021597 ,      0.073058 ,      0.074388 ,           0.045520 ,           0.052791
            NRCA3_FULL_OSS ,      0.020884 ,      0.016138 ,      0.114621 ,      0.133454 ,           0.093737 ,           0.117317
            NRCA4_FULL_OSS ,      0.027128 ,      0.015822 ,      0.091132 ,      0.088825 ,           0.064004 ,           0.073003
            NRCA5_FULL_OSS ,      0.010408 ,      0.008699 ,      0.091555 ,      0.102440 ,           0.081146 ,           0.093741
            NRCB1_FULL_OSS ,      0.028032 ,      0.022079 ,      0.064332 ,      0.053218 ,           0.036300 ,           0.031139
            NRCB2_FULL_OSS ,      0.020684 ,      0.020530 ,      0.085977 ,      0.103225 ,           0.065293 ,           0.082695
            NRCB3_FULL_OSS ,      0.027579 ,      0.016205 ,      0.040197 ,      0.053393 ,           0.012619 ,           0.037188
            NRCB4_FULL_OSS ,      0.021575 ,      0.016809 ,      0.058543 ,      0.095345 ,           0.036968 ,           0.078536
            NRCB5_FULL_OSS ,      0.010371 ,      0.009079 ,      0.064210 ,      0.070760 ,           0.053839 ,           0.061681
                NRCA1_FULL ,      0.021202 ,      0.018765 ,      0.088132 ,      0.122575 ,           0.066931 ,           0.103810
                NRCA2_FULL ,      0.027548 ,      0.021601 ,      0.073032 ,      0.074352 ,           0.045485 ,           0.052750
                NRCA3_FULL ,      0.020895 ,      0.016141 ,      0.114575 ,      0.133435 ,           0.093680 ,           0.117294
                NRCA4_FULL ,      0.027139 ,      0.015829 ,      0.091157 ,      0.088817 ,           0.064019 ,           0.072988
                NRCA5_FULL ,      0.010405 ,      0.008701 ,      0.091612 ,      0.102453 ,           0.081207 ,           0.093751
                NRCB1_FULL ,      0.028042 ,      0.022081 ,      0.064326 ,      0.053198 ,           0.036284 ,           0.031117
                NRCB2_FULL ,      0.020695 ,      0.020529 ,      0.085967 ,      0.103220 ,           0.065272 ,           0.082691
                NRCB3_FULL ,      0.027587 ,      0.016212 ,      0.040179 ,      0.053303 ,           0.012592 ,           0.037090
                NRCB4_FULL ,      0.021562 ,      0.016805 ,      0.058599 ,      0.095339 ,           0.037038 ,           0.078534
                NRCB5_FULL ,      0.010370 ,      0.009083 ,      0.064191 ,      0.070694 ,           0.053821 ,           0.061611
              NRCA1_SUB160 ,      0.004287 ,      0.027961 ,      0.094833 ,      0.193177 ,           0.090546 ,           0.165216
              NRCA2_SUB160 ,      0.003070 ,      0.021367 ,      0.165030 ,      0.180373 ,           0.161959 ,           0.159006
              NRCA3_SUB160 ,      0.007114 ,      0.024126 ,      0.074360 ,      0.270493 ,           0.067246 ,           0.246367
              NRCA4_SUB160 ,      0.009348 ,      0.018765 ,      0.112479 ,      0.158877 ,           0.103131 ,           0.140112
              NRCA5_SUB160 ,      0.001686 ,      0.006675 ,      0.007208 ,      0.008030 ,           0.005522 ,           0.001354
              NRCA1_SUB320 ,      0.004075 ,      0.029727 ,      0.093884 ,      0.177312 ,           0.089809 ,           0.147585
              NRCA2_SUB320 ,      0.002420 ,      0.019465 ,      0.138545 ,      0.152676 ,           0.136125 ,           0.133210
              NRCA3_SUB320 ,      0.006705 ,      0.023517 ,      0.084219 ,      0.244977 ,           0.077514 ,           0.221461
              NRCA4_SUB320 ,      0.011468 ,      0.015974 ,      0.106913 ,      0.140305 ,           0.095445 ,           0.124331
              NRCA5_SUB320 ,      0.002436 ,      0.006428 ,      0.014420 ,      0.016053 ,           0.011983 ,           0.009625
              NRCA1_SUB640 ,      0.005432 ,      0.031727 ,      0.084337 ,      0.143518 ,           0.078905 ,           0.111790
              NRCA2_SUB640 ,      0.006800 ,      0.014559 ,      0.102062 ,      0.111884 ,           0.095262 ,           0.097325
              NRCA3_SUB640 ,      0.004834 ,      0.020414 ,      0.090285 ,      0.202370 ,           0.085450 ,           0.181955
              NRCA4_SUB640 ,      0.016185 ,      0.010536 ,      0.094149 ,      0.107800 ,           0.077964 ,           0.097264
              NRCA5_SUB640 ,      0.004140 ,      0.007228 ,      0.028850 ,      0.032063 ,           0.024710 ,           0.024836
              NRCB1_SUB160 ,      0.005195 ,      0.019917 ,      0.122804 ,      0.080307 ,           0.117609 ,           0.060390
              NRCB2_SUB160 ,      0.006911 ,      0.027054 ,      0.118001 ,      0.167362 ,           0.111090 ,           0.140308
              NRCB3_SUB160 ,      0.012475 ,      0.016771 ,      0.124724 ,      0.077864 ,           0.112249 ,           0.061092
              NRCB4_SUB160 ,      0.010137 ,      0.022899 ,      0.083848 ,      0.148683 ,           0.073710 ,           0.125784
              NRCB5_SUB160 ,      0.003088 ,      0.005613 ,      0.005761 ,      0.005536 ,           0.002673 ,          -0.000077
              NRCB1_SUB320 ,      0.003311 ,      0.017903 ,      0.112764 ,      0.069786 ,           0.109453 ,           0.051883
              NRCB2_SUB320 ,      0.006337 ,      0.029241 ,      0.112877 ,      0.164053 ,           0.106540 ,           0.134812
              NRCB3_SUB320 ,      0.014724 ,      0.013779 ,      0.095843 ,      0.059872 ,           0.081118 ,           0.046093
              NRCB4_SUB320 ,      0.009815 ,      0.022442 ,      0.075823 ,      0.139682 ,           0.066008 ,           0.117240
              NRCB5_SUB320 ,      0.003311 ,      0.005562 ,      0.010076 ,      0.011081 ,           0.006766 ,           0.005519
              NRCB1_SUB640 ,      0.006781 ,      0.013144 ,      0.091965 ,      0.053700 ,           0.085184 ,           0.040556
              NRCB2_SUB640 ,      0.006744 ,      0.032134 ,      0.097287 ,      0.145673 ,           0.090543 ,           0.113538
              NRCB3_SUB640 ,      0.019486 ,      0.008553 ,      0.063537 ,      0.040406 ,           0.044051 ,           0.031853
              NRCB4_SUB640 ,      0.007321 ,      0.019621 ,      0.064026 ,      0.117876 ,           0.056704 ,           0.098255
              NRCB5_SUB640 ,      0.004751 ,      0.007103 ,      0.019207 ,      0.022226 ,           0.014456 ,           0.015123
     NRCA5_GRISM256_F322W2 ,      0.010405 ,      0.008701 ,      0.091612 ,      0.102453 ,           0.081207 ,           0.093751
     NRCA5_GRISM128_F322W2 ,      0.010405 ,      0.008701 ,      0.091612 ,      0.102453 ,           0.081207 ,           0.093751
      NRCA5_GRISM64_F322W2 ,      0.010405 ,      0.008701 ,      0.091612 ,      0.102453 ,           0.081207 ,           0.093751
      NRCA5_GRISM256_F277W ,      0.010405 ,      0.008701 ,      0.091612 ,      0.102453 ,           0.081207 ,           0.093751
      NRCA5_GRISM128_F277W ,      0.010405 ,      0.008701 ,      0.091612 ,      0.102453 ,           0.081207 ,           0.093751
       NRCA5_GRISM64_F277W ,      0.010405 ,      0.008701 ,      0.091612 ,      0.102453 ,           0.081207 ,           0.093751
      NRCA5_GRISM256_F356W ,      0.010405 ,      0.008701 ,      0.091612 ,      0.102453 ,           0.081207 ,           0.093751
      NRCA5_GRISM128_F356W ,      0.010405 ,      0.008701 ,      0.091612 ,      0.102453 ,           0.081207 ,           0.093751
       NRCA5_GRISM64_F356W ,      0.010405 ,      0.008701 ,      0.091612 ,      0.102453 ,           0.081207 ,           0.093751
      NRCA5_GRISM256_F444W ,      0.010405 ,      0.008701 ,      0.091612 ,      0.102453 ,           0.081207 ,           0.093751
      NRCA5_GRISM128_F444W ,      0.010405 ,      0.008701 ,      0.091612 ,      0.102453 ,           0.081207 ,           0.093751
