Reference:  429 apertures in PRDOPSSOC-072 (index 0 in table below)
Comparison: 429 apertures in pre-delivery (index 1 in table below)

                    AperName , siaf0_dx_mean , siaf0_dy_mean , siaf1_dx_mean , siaf1_dy_mean , difference_dx_mean , difference_dy_mean
              NRCA1_FULL_OSS ,      0.000092 ,      0.000068 ,      0.000092 ,      0.000068 ,           0.000000 ,           0.000000
              NRCA2_FULL_OSS ,      0.000054 ,      0.000052 ,      0.000054 ,      0.000052 ,           0.000000 ,           0.000000
              NRCA3_FULL_OSS ,      0.000057 ,      0.000157 ,      0.000057 ,      0.000157 ,           0.000000 ,           0.000000
              NRCA4_FULL_OSS ,      0.000077 ,      0.000102 ,      0.000077 ,      0.000102 ,           0.000000 ,           0.000000
              NRCA5_FULL_OSS ,      0.000276 ,      0.000167 ,      0.000276 ,      0.000167 ,           0.000000 ,           0.000000
              NRCB1_FULL_OSS ,      0.000095 ,      0.000040 ,      0.000095 ,      0.000040 ,           0.000000 ,           0.000000
              NRCB2_FULL_OSS ,      0.000126 ,      0.000071 ,      0.000126 ,      0.000071 ,           0.000000 ,           0.000000
              NRCB3_FULL_OSS ,      0.000046 ,      0.000086 ,      0.000046 ,      0.000086 ,           0.000000 ,           0.000000
              NRCB4_FULL_OSS ,      0.000083 ,      0.000153 ,      0.000083 ,      0.000153 ,           0.000000 ,           0.000000
              NRCB5_FULL_OSS ,      0.000198 ,      0.000117 ,      0.000198 ,      0.000117 ,           0.000000 ,           0.000000
                  NRCA1_FULL ,      0.000092 ,      0.000068 ,      0.000092 ,      0.000068 ,           0.000000 ,           0.000000
                  NRCA2_FULL ,      0.062284 ,      0.000224 ,      0.062284 ,      0.000224 ,           0.000000 ,           0.000000
                  NRCA3_FULL ,      0.074471 ,      0.000389 ,      0.074471 ,      0.000389 ,           0.000000 ,           0.000000
                  NRCA4_FULL ,      0.000077 ,      0.000102 ,      0.000077 ,      0.000102 ,           0.000000 ,           0.000000
                  NRCA5_FULL ,      0.022377 ,      0.000210 ,      0.022377 ,      0.000210 ,           0.000000 ,           0.000000
                  NRCB1_FULL ,      0.003148 ,      0.000041 ,      0.003148 ,      0.000041 ,           0.000000 ,           0.000000
                  NRCB2_FULL ,      0.000126 ,      0.000071 ,      0.000126 ,      0.000071 ,           0.000000 ,           0.000000
                  NRCB3_FULL ,      0.001202 ,      0.000087 ,      0.001202 ,      0.000087 ,           0.000000 ,           0.000000
                  NRCB4_FULL ,      0.000083 ,      0.000153 ,      0.000083 ,      0.000153 ,           0.000000 ,           0.000000
                  NRCB5_FULL ,      0.000198 ,      0.000117 ,      0.000198 ,      0.000117 ,           0.000000 ,           0.000000
