Reference:  41 apertures in PRDOPSSOC-063
Comparison: 41 apertures in pre_delivery

Number of modified apertures 41. Significant modifications are listed below.
Differences are reported for any text change
and fractional differences greater than 1e-06

Aperture                        Attribute             Reference            Comparison      Difference    Percent
NIS_CEN_OSS                         V2Ref              -291.157              -291.141        0.016000     0.0055
NIS_CEN_OSS                         V3Ref              -698.102              -698.015        0.087000     0.0125

NIS_CEN                             V2Ref              -291.157              -291.141        0.016000     0.0055
NIS_CEN                             V3Ref              -698.102              -698.015        0.087000     0.0125

NIS_AMI1                            V2Ref           -296.072739           -296.056739        0.016000     0.0054
NIS_AMI1                            V3Ref           -762.714999           -762.627999        0.087000     0.0114

NIS_AMI2                            V2Ref           -294.232477           -294.216477        0.016000     0.0054
NIS_AMI2                            V3Ref           -761.607846           -761.520846        0.087000     0.0114

NIS_AMI3                            V2Ref           -294.254136           -294.238136        0.016000     0.0054
NIS_AMI3                            V3Ref           -763.776555           -763.689555        0.087000     0.0114

NIS_AMI4                            V2Ref           -296.998472           -296.982472        0.016000     0.0054
NIS_AMI4                            V3Ref           -763.827282           -763.740282        0.087000     0.0114

NIS_AMI1_F277W_NRM                  V2Ref           -296.101251           -296.085251        0.016000     0.0054
NIS_AMI1_F277W_NRM                  V3Ref           -762.717932           -762.630932        0.087000     0.0114

NIS_AMI1_F380M_NRM                  V2Ref           -296.065689           -296.049689        0.016000     0.0054
NIS_AMI1_F380M_NRM                  V3Ref           -762.695978           -762.608978        0.087000     0.0114

NIS_AMI1_F430M_NRM                  V2Ref              -296.082              -296.066        0.016000     0.0054
NIS_AMI1_F430M_NRM                  V3Ref           -762.706996           -762.619996        0.087000     0.0114

NIS_AMI1_F480M_NRM                  V2Ref           -296.072271           -296.056271        0.016000     0.0054
NIS_AMI1_F480M_NRM                  V3Ref           -762.700937           -762.613937        0.087000     0.0114

NIS_AMI1_F277W                      V2Ref           -296.101718           -296.085718        0.016000     0.0054
NIS_AMI1_F277W                      V3Ref           -762.731994           -762.644994        0.087000     0.0114

NIS_AMI1_F380M                      V2Ref              -296.069              -296.053        0.016000     0.0054
NIS_AMI1_F380M                      V3Ref           -762.700495           -762.613495        0.087000     0.0114

NIS_AMI1_F430M                      V2Ref           -296.089424           -296.073424        0.016000     0.0054
NIS_AMI1_F430M                      V3Ref           -762.724174           -762.637174        0.087000     0.0114

NIS_AMI1_F480M                      V2Ref           -296.072739           -296.056739        0.016000     0.0054
NIS_AMI1_F480M                      V3Ref           -762.714999           -762.627999        0.087000     0.0114

