Reference:  33 apertures in PRDOPSSOC-045-003 (index 0 in table below)
Comparison: 33 apertures in pre_delivery (index 1 in table below)

       AperName , siaf0_dx_mean , siaf0_dy_mean , siaf1_dx_mean , siaf1_dy_mean , difference_dx_mean , difference_dy_mean
    NIS_CEN_OSS ,      0.004639 ,      0.003891 ,      0.005102 ,      0.015713 ,           0.000462 ,           0.011822
        NIS_CEN ,      0.004632 ,      0.003894 ,      0.005101 ,      0.015707 ,           0.000469 ,           0.011813
       NIS_AMI1 ,      0.000417 ,      0.000307 ,      0.000356 ,      0.001922 ,          -0.000061 ,           0.001616
       NIS_AMI2 ,      0.000427 ,      0.000397 ,      0.000456 ,      0.002447 ,           0.000029 ,           0.002050
       NIS_AMI3 ,      0.000547 ,      0.000321 ,      0.000435 ,      0.002008 ,          -0.000112 ,           0.001687
       NIS_AMI4 ,      0.000433 ,      0.000380 ,      0.000435 ,      0.002420 ,           0.000002 ,           0.002040
      NIS_AMITA ,      0.000284 ,      0.000190 ,      0.000244 ,      0.001000 ,          -0.000040 ,           0.000810
     NIS_SOSSTA ,      0.000077 ,      0.000141 ,      0.000224 ,      0.000063 ,           0.000147 ,          -0.000078
NIS_WFSS_OFFSET ,      0.004631 ,      0.003904 ,      0.005101 ,      0.015632 ,           0.000471 ,           0.011728
     NIS_WFSS64 ,      0.005871 ,      0.010096 ,      0.018820 ,      0.012191 ,           0.012949 ,           0.002095
    NIS_WFSS64R ,      0.003894 ,      0.000151 ,      0.004903 ,      0.007297 ,           0.001010 ,           0.007145
   NIS_WFSS64R3 ,      0.006853 ,      0.006349 ,      0.007291 ,      0.014368 ,           0.000438 ,           0.008019
    NIS_WFSS64C ,      0.038520 ,      0.164196 ,      0.051582 ,      1.262851 ,           0.013062 ,           1.098654
   NIS_WFSS64C3 ,      0.038778 ,      0.172625 ,      0.055866 ,      1.262764 ,           0.017088 ,           1.090138
    NIS_WFSS128 ,      0.006347 ,      0.009857 ,      0.017048 ,      0.012065 ,           0.010700 ,           0.002208
   NIS_WFSS128R ,      0.003765 ,      0.000337 ,      0.004477 ,      0.004420 ,           0.000712 ,           0.004083
  NIS_WFSS128R3 ,      0.006917 ,      0.006604 ,      0.007047 ,      0.009646 ,           0.000130 ,           0.003041
   NIS_WFSS128C ,      0.033972 ,      0.146263 ,      0.039962 ,      0.931417 ,           0.005990 ,           0.785154
  NIS_WFSS128C3 ,      0.034389 ,      0.154057 ,      0.044211 ,      0.931271 ,           0.009822 ,           0.777215
      NIS_SUB64 ,      0.000212 ,      0.000146 ,      0.000490 ,      0.000520 ,           0.000278 ,           0.000374
     NIS_SUB128 ,      0.000364 ,      0.000270 ,      0.000932 ,      0.001173 ,           0.000568 ,           0.000903
     NIS_SUB256 ,      0.000524 ,      0.000477 ,      0.001688 ,      0.002703 ,           0.001163 ,           0.002226
  NIS_SUBAMPCAL ,      0.012127 ,      0.004647 ,      0.006963 ,      0.037905 ,          -0.005164 ,           0.033257
 NIS_SUBSTRIP96 ,      0.005402 ,      0.023430 ,      0.013741 ,      0.035392 ,           0.008338 ,           0.011962
NIS_SUBSTRIP256 ,      0.005402 ,      0.023430 ,      0.013741 ,      0.035392 ,           0.008338 ,           0.011962
    NIS_FP1MIMF ,      0.004629 ,      0.003918 ,      0.005101 ,      0.015507 ,           0.000472 ,           0.011589
    NIS_FP2MIMF ,      0.004753 ,      0.003856 ,      0.005415 ,      0.012951 ,           0.000662 ,           0.009095
    NIS_FP3MIMF ,      0.013517 ,      0.005236 ,      0.009710 ,      0.029182 ,          -0.003807 ,           0.023946
    NIS_FP4MIMF ,      0.004789 ,      0.004016 ,      0.010146 ,      0.016266 ,           0.005357 ,           0.012250
    NIS_FP5MIMF ,      0.006537 ,      0.009756 ,      0.016337 ,      0.012048 ,           0.009800 ,           0.002292
    NIS_AMIFULL ,      0.007179 ,      0.004324 ,      0.005170 ,      0.013814 ,          -0.002009 ,           0.009490
   NIS_SOSSFULL ,      0.005735 ,      0.005986 ,      0.007117 ,      0.024697 ,           0.001383 ,           0.018711
       NIS_WFSS ,      0.004627 ,      0.004053 ,      0.005104 ,      0.014795 ,           0.000478 ,           0.010741
