Reference:  41 apertures in PRDOPSSOC-062 (index 0 in table below)
Comparison: 41 apertures in pre_delivery (index 1 in table below)

          AperName , siaf0_dx_mean , siaf0_dy_mean , siaf1_dx_mean , siaf1_dy_mean , difference_dx_mean , difference_dy_mean
       NIS_CEN_OSS ,      0.005102 ,      0.015713 ,      0.005102 ,      0.015713 ,           0.000000 ,           0.000000
           NIS_CEN ,      0.005101 ,      0.015707 ,      0.005101 ,      0.015707 ,           0.000000 ,           0.000000
          NIS_AMI1 ,      0.000356 ,      0.001922 ,      0.000356 ,      0.001922 ,           0.000000 ,           0.000000
          NIS_AMI2 ,      0.000456 ,      0.002447 ,      0.000456 ,      0.002447 ,           0.000000 ,           0.000000
          NIS_AMI3 ,      0.000435 ,      0.002008 ,      0.000435 ,      0.002008 ,           0.000000 ,           0.000000
          NIS_AMI4 ,      0.000435 ,      0.002420 ,      0.000435 ,      0.002420 ,           0.000000 ,           0.000000
NIS_AMI1_F277W_NRM ,      0.000357 ,      0.001923 ,      0.000357 ,      0.001923 ,           0.000000 ,           0.000000
NIS_AMI1_F380M_NRM ,      0.000356 ,      0.001922 ,      0.000356 ,      0.001922 ,           0.000000 ,           0.000000
NIS_AMI1_F430M_NRM ,      0.000356 ,      0.001922 ,      0.000356 ,      0.001922 ,           0.000000 ,           0.000000
NIS_AMI1_F480M_NRM ,      0.000356 ,      0.001922 ,      0.000356 ,      0.001922 ,           0.000000 ,           0.000000
    NIS_AMI1_F277W ,      0.000357 ,      0.001923 ,      0.000357 ,      0.001923 ,           0.000000 ,           0.000000
    NIS_AMI1_F380M ,      0.000356 ,      0.001922 ,      0.000356 ,      0.001922 ,           0.000000 ,           0.000000
    NIS_AMI1_F430M ,      0.000356 ,      0.001923 ,      0.000356 ,      0.001923 ,           0.000000 ,           0.000000
    NIS_AMI1_F480M ,      0.000356 ,      0.001922 ,      0.000356 ,      0.001922 ,           0.000000 ,           0.000000
         NIS_AMITA ,      0.000244 ,      0.001000 ,      0.000244 ,      0.001000 ,           0.000000 ,           0.000000
        NIS_SOSSTA ,      0.000224 ,      0.000063 ,      0.000224 ,      0.000063 ,           0.000000 ,           0.000000
   NIS_WFSS_OFFSET ,      0.005101 ,      0.015632 ,      0.005101 ,      0.015632 ,           0.000000 ,           0.000000
        NIS_WFSS64 ,      0.018820 ,      0.012191 ,      0.018820 ,      0.012191 ,           0.000000 ,           0.000000
       NIS_WFSS64R ,      0.004903 ,      0.007297 ,      0.004903 ,      0.007297 ,           0.000000 ,           0.000000
      NIS_WFSS64R3 ,      0.007291 ,      0.014368 ,      0.007291 ,      0.014368 ,           0.000000 ,           0.000000
       NIS_WFSS64C ,      0.051582 ,      1.262851 ,      0.051582 ,      1.262851 ,           0.000000 ,           0.000000
      NIS_WFSS64C3 ,      0.055866 ,      1.262764 ,      0.055866 ,      1.262764 ,           0.000000 ,           0.000000
       NIS_WFSS128 ,      0.017048 ,      0.012065 ,      0.017048 ,      0.012065 ,           0.000000 ,           0.000000
      NIS_WFSS128R ,      0.004477 ,      0.004420 ,      0.004477 ,      0.004420 ,           0.000000 ,           0.000000
     NIS_WFSS128R3 ,      0.007047 ,      0.009646 ,      0.007047 ,      0.009646 ,           0.000000 ,           0.000000
      NIS_WFSS128C ,      0.039962 ,      0.931417 ,      0.039962 ,      0.931417 ,           0.000000 ,           0.000000
     NIS_WFSS128C3 ,      0.044211 ,      0.931271 ,      0.044211 ,      0.931271 ,           0.000000 ,           0.000000
         NIS_SUB64 ,      0.000490 ,      0.000520 ,      0.000490 ,      0.000520 ,           0.000000 ,           0.000000
        NIS_SUB128 ,      0.000932 ,      0.001173 ,      0.000932 ,      0.001173 ,           0.000000 ,           0.000000
        NIS_SUB256 ,      0.001688 ,      0.002703 ,      0.001688 ,      0.002703 ,           0.000000 ,           0.000000
     NIS_SUBAMPCAL ,      0.006963 ,      0.037905 ,      0.006963 ,      0.037905 ,           0.000000 ,           0.000000
    NIS_SUBSTRIP96 ,      0.013741 ,      0.035392 ,      0.013741 ,      0.035392 ,           0.000000 ,           0.000000
   NIS_SUBSTRIP256 ,      0.013741 ,      0.035392 ,      0.013741 ,      0.035392 ,           0.000000 ,           0.000000
       NIS_FP1MIMF ,      0.005101 ,      0.015507 ,      0.005101 ,      0.015507 ,           0.000000 ,           0.000000
       NIS_FP2MIMF ,      0.005415 ,      0.012951 ,      0.005415 ,      0.012951 ,           0.000000 ,           0.000000
       NIS_FP3MIMF ,      0.009710 ,      0.029182 ,      0.009710 ,      0.029182 ,           0.000000 ,           0.000000
       NIS_FP4MIMF ,      0.010146 ,      0.016266 ,      0.010146 ,      0.016266 ,           0.000000 ,           0.000000
       NIS_FP5MIMF ,      0.016337 ,      0.012048 ,      0.016337 ,      0.012048 ,           0.000000 ,           0.000000
       NIS_AMIFULL ,      0.005170 ,      0.013814 ,      0.005170 ,      0.013814 ,           0.000000 ,           0.000000
      NIS_SOSSFULL ,      0.007117 ,      0.024697 ,      0.007117 ,      0.024697 ,           0.000000 ,           0.000000
          NIS_WFSS ,      0.005104 ,      0.014795 ,      0.005104 ,      0.014795 ,           0.000000 ,           0.000000
