Reference:  75 apertures in PRDOPSSOC-H-015
Comparison: 75 apertures in pre_delivery

Number of modified apertures 75. Significant modifications are listed below.
Differences are reported for any text change
and fractional differences greater than 1e-06

Aperture                        Attribute             Reference            Comparison      Difference    Percent
NRS1_FULL                       XSciScale            0.10326748            0.10324663        0.000021     0.0202
NRS1_FULL                       YSciScale            0.10532422             0.1053387        0.000014     0.0137

NRS_IFU_SLICE12                 XIdlVert2                0.0494                0.0493        0.000100     0.2024

NRS_IFU_SLICE16                 XIdlVert4               -0.0543               -0.0544        0.000100     0.1838

NRS_FULL_MSA2                   XIdlVert3              -48.4885              -48.4884        0.000100     0.0002

NRS_VIGNETTED_MSA4              XIdlVert2                47.703               47.7029        0.000100     0.0002

NRS1_FP2MIMF                    XSciScale              0.103574            0.10354762        0.000026     0.0255
NRS1_FP2MIMF                    YSciScale              0.106504            0.10647847        0.000026     0.0240
NRS1_FP2MIMF                  V3IdlYAngle            137.413365            139.248145        1.834780     1.3176
NRS1_FP2MIMF                  V3SciXAngle                49.337             48.070698        1.266302     2.5666
NRS1_FP2MIMF                  V3SciYAngle              137.4134            139.248145        1.834745     1.3176
NRS1_FP2MIMF                    XIdlVert1             -116.0707             -116.6776        0.606900     0.5202
NRS1_FP2MIMF                    XIdlVert2                93.568               92.9608        0.607200     0.6489
NRS1_FP2MIMF                    XIdlVert3               89.5474               95.8454        6.298000     6.5710
NRS1_FP2MIMF                    XIdlVert4             -124.6259             -118.3036        6.322300     5.0730
NRS1_FP2MIMF                    YIdlVert1              -20.8158               -17.089        3.726800    17.9037
NRS1_FP2MIMF                    YIdlVert2              -17.4647              -20.4518        2.987100    14.6056
NRS1_FP2MIMF                    YIdlVert3              198.1388              195.1722        2.966600     1.4972
NRS1_FP2MIMF                    YIdlVert4              195.4683              199.3604        3.892100     1.9523
NRS1_FP2MIMF                   Sci2IdlY11 6.479160092706201e-05  6.47923367718119e-05        0.000000     0.0011
NRS1_FP2MIMF                   Idl2SciY00    -184.7603638822017      -3650.0919477736     3465.331584    94.9382

NRS1_FP3MIMF                    XSciScale              0.102908            0.10287254        0.000035     0.0345
NRS1_FP3MIMF                    YSciScale              0.103966            0.10392546        0.000041     0.0390
NRS1_FP3MIMF                  V3IdlYAngle            137.212454             139.07994        1.867486     1.3427
NRS1_FP3MIMF                  V3SciXAngle               49.3854             48.141371        1.244029     2.5190
NRS1_FP3MIMF                  V3SciYAngle              137.2125             139.07994        1.867440     1.3427
NRS1_FP3MIMF                    XIdlVert1             -119.3493             -126.1046        6.755300     5.3569
NRS1_FP3MIMF                    XIdlVert2               90.2762               83.5428        6.733400     7.4587
NRS1_FP3MIMF                    XIdlVert3               85.4998               85.7944        0.294600     0.3434
NRS1_FP3MIMF                    XIdlVert4             -128.6628              -128.366        0.296800     0.2307
NRS1_FP3MIMF                    YIdlVert1              -209.236             -205.2433        3.992700     1.9082
NRS1_FP3MIMF                    YIdlVert2             -205.1498             -207.9905        2.840700     1.3658
NRS1_FP3MIMF                    YIdlVert3               10.4325                 7.641        2.791500    26.7577
NRS1_FP3MIMF                    YIdlVert4                 7.011               11.2005        4.189500    37.4046
NRS1_FP3MIMF                   Sci2IdlY11 6.932420610238845e-05  6.93266732021235e-05        0.000000     0.0036
NRS1_FP3MIMF                   Idl2SciY00     -1966.64111595963      -5432.0919477736     3465.450832    63.7959

NRS2_FP4MIMF                      XSciRef                 771.0                 773.0        2.000000     0.2587
NRS2_FP4MIMF                      YSciRef                1811.0                1813.0        2.000000     0.1103
NRS2_FP4MIMF                    XSciScale              0.102988            0.10298724        0.000001     0.0007
NRS2_FP4MIMF                    YSciScale              0.104228            0.10422468        0.000003     0.0032
NRS2_FP4MIMF                        V2Ref            499.619202            499.920096        0.300894     0.0602
