Reference:  75 apertures in PRDOPSSOC-045-003
Comparison: 75 apertures in pre_delivery

Number of modified apertures 74. Significant modifications are listed below.
Differences are reported for any text change
and fractional differences greater than 1e-06

Aperture                        Attribute             Reference            Comparison      Difference    Percent
NRS1_FULL_OSS                   XSciScale            0.10325235            0.10331199        0.000060     0.0577
NRS1_FULL_OSS                   YSciScale            0.10533853             0.1053755        0.000037     0.0351
NRS1_FULL_OSS                       V2Ref             294.05417             293.27474        0.779430     0.2651
NRS1_FULL_OSS                       V3Ref           -502.902261           -503.305637        0.403376     0.0801
NRS1_FULL_OSS                 V3IdlYAngle          139.15589448           139.2223265        0.066432     0.0477
NRS1_FULL_OSS                 V3SciXAngle           48.13380959           48.21199041        0.078181     0.1622
NRS1_FULL_OSS                 V3SciYAngle          139.15589448           139.2223265        0.066432     0.0477
NRS1_FULL_OSS                   XIdlVert1              105.6475              106.2216        0.574100     0.5405
NRS1_FULL_OSS                   XIdlVert2             -104.1223             -104.1427        0.020400     0.0196
NRS1_FULL_OSS                   XIdlVert3             -106.6594             -106.6653        0.005900     0.0055
NRS1_FULL_OSS                   XIdlVert4              107.6165              108.5058        0.889300     0.8196
NRS1_FULL_OSS                   YIdlVert1             -104.9059             -104.8357        0.070200     0.0669
NRS1_FULL_OSS                   YIdlVert2             -108.0148             -108.0594        0.044600     0.0413
NRS1_FULL_OSS                   YIdlVert3              107.6149              107.6673        0.052400     0.0487
NRS1_FULL_OSS                   YIdlVert4              111.5372                110.97        0.567200     0.5085
NRS1_FULL_OSS                  Sci2IdlX00  -0.06766048701557284  -0.06384470737636742        0.003816     5.6396
NRS1_FULL_OSS                  Sci2IdlX10 6.370890614677663e-05 6.368728355513329e-05        0.000000     0.0339
NRS1_FULL_OSS                  Sci2IdlX11 -4.970698804492993e-07 3.648522953454175e-07        0.000001   173.4006
NRS1_FULL_OSS                  Sci2IdlX20 -2.955646134196004e-10 -2.924481040839713e-10        0.000000     1.0544
NRS1_FULL_OSS                  Sci2IdlX21 9.440510071416129e-10  9.42552166595701e-10        0.000000     0.1588
NRS1_FULL_OSS                  Sci2IdlX22 -1.112879201268919e-10 -6.35570774745818e-11        0.000000    42.8895
NRS1_FULL_OSS                  Sci2IdlX30 8.298477723913039e-14 8.296484089544573e-14        0.000000     0.0240
NRS1_FULL_OSS                  Sci2IdlX31  1.10325249897478e-14 8.807454570225739e-15        0.000000    20.1683
NRS1_FULL_OSS                  Sci2IdlX32 9.236020596236368e-14 9.381105416717624e-14        0.000000     1.5466
NRS1_FULL_OSS                  Sci2IdlX33 -1.804763753121786e-15 -3.567236971099689e-15        0.000000    49.4072
NRS1_FULL_OSS                  Sci2IdlX40 5.648729504890469e-18 5.943848293950935e-18        0.000000     4.9651
NRS1_FULL_OSS                  Sci2IdlX41 -2.405824675340322e-18 -1.285027164654429e-18        0.000000    46.5868
NRS1_FULL_OSS                  Sci2IdlX42 -1.521367320640505e-18 -2.271509093476447e-18        0.000000    33.0239
NRS1_FULL_OSS                  Sci2IdlX43 -1.974391146562075e-19 -5.718055250761725e-19        0.000000    65.4709
NRS1_FULL_OSS                  Sci2IdlX44 -9.012597898676598e-18 -8.778497927059817e-18        0.000000     2.5975
NRS1_FULL_OSS                  Sci2IdlX50 -1.050715013587022e-21 -1.103273877468168e-21        0.000000     4.7639
NRS1_FULL_OSS                  Sci2IdlX51 3.710178289757959e-23 -8.358301440971526e-23        0.000000   144.3891
NRS1_FULL_OSS                  Sci2IdlX52 2.612299746800808e-22 3.085868551770315e-22        0.000000    15.3464
NRS1_FULL_OSS                  Sci2IdlX53 -3.228929469215848e-22 -5.154080816719653e-22        0.000000    37.3520
NRS1_FULL_OSS                  Sci2IdlX54 1.157276804843781e-21 9.967373437303108e-22        0.000000    13.8722
