Reference:  75 apertures in PRDOPSSOC-072
Comparison: 75 apertures in pre_delivery

Number of modified apertures 75. Significant modifications are listed below.
Differences are reported for any text change
and fractional differences greater than 1e-06

Aperture                        Attribute             Reference            Comparison      Difference    Percent
NRS1_FULL_OSS                 OSS_Version                  None                   8.4             N/A        N/A

NRS1_FULL                     OSS_Version                  None                   8.4             N/A        N/A

NRS2_FULL_OSS                 OSS_Version                  None                   8.4             N/A        N/A

NRS2_FULL                     OSS_Version                  None                   8.4             N/A        N/A

NRS_S200A1_SLIT               OSS_Version                  None                   8.4             N/A        N/A

NRS_S200A2_SLIT               OSS_Version                  None                   8.4             N/A        N/A

NRS_S400A1_SLIT               OSS_Version                  None                   8.4             N/A        N/A

NRS_S1600A1_SLIT              OSS_Version                  None                   8.4             N/A        N/A

NRS_S200B1_SLIT               OSS_Version                  None                   8.4             N/A        N/A

NRS_FULL_IFU                  OSS_Version                  None                   8.4             N/A        N/A

NRS_IFU_SLICE00               OSS_Version                  None                   8.4             N/A        N/A

NRS_IFU_SLICE01               OSS_Version                  None                   8.4             N/A        N/A

NRS_IFU_SLICE02               OSS_Version                  None                   8.4             N/A        N/A

NRS_IFU_SLICE03               OSS_Version                  None                   8.4             N/A        N/A

NRS_IFU_SLICE04               OSS_Version                  None                   8.4             N/A        N/A

NRS_IFU_SLICE05               OSS_Version                  None                   8.4             N/A        N/A

NRS_IFU_SLICE06               OSS_Version                  None                   8.4             N/A        N/A

NRS_IFU_SLICE07               OSS_Version                  None                   8.4             N/A        N/A

NRS_IFU_SLICE08               OSS_Version                  None                   8.4             N/A        N/A

NRS_IFU_SLICE09               OSS_Version                  None                   8.4             N/A        N/A

NRS_IFU_SLICE10               OSS_Version                  None                   8.4             N/A        N/A

NRS_IFU_SLICE11               OSS_Version                  None                   8.4             N/A        N/A

NRS_IFU_SLICE12               OSS_Version                  None                   8.4             N/A        N/A

NRS_IFU_SLICE13               OSS_Version                  None                   8.4             N/A        N/A

NRS_IFU_SLICE14               OSS_Version                  None                   8.4             N/A        N/A

NRS_IFU_SLICE15               OSS_Version                  None                   8.4             N/A        N/A

NRS_IFU_SLICE16               OSS_Version                  None                   8.4             N/A        N/A

NRS_IFU_SLICE17               OSS_Version                  None                   8.4             N/A        N/A

NRS_IFU_SLICE18               OSS_Version                  None                   8.4             N/A        N/A

NRS_IFU_SLICE19               OSS_Version                  None                   8.4             N/A        N/A

NRS_IFU_SLICE20               OSS_Version                  None                   8.4             N/A        N/A

NRS_IFU_SLICE21               OSS_Version                  None                   8.4             N/A        N/A

NRS_IFU_SLICE22               OSS_Version                  None                   8.4             N/A        N/A

NRS_IFU_SLICE23               OSS_Version                  None                   8.4             N/A        N/A

NRS_IFU_SLICE24               OSS_Version                  None                   8.4             N/A        N/A

NRS_IFU_SLICE25               OSS_Version                  None                   8.4             N/A        N/A

NRS_IFU_SLICE26               OSS_Version                  None                   8.4             N/A        N/A

NRS_IFU_SLICE27               OSS_Version                  None                   8.4             N/A        N/A

NRS_IFU_SLICE28               OSS_Version                  None                   8.4             N/A        N/A

NRS_IFU_SLICE29               OSS_Version                  None                   8.4             N/A        N/A

NRS_FULL_MSA                  OSS_Version                  None                   8.4             N/A        N/A

NRS_FULL_MSA1                 OSS_Version                  None                   8.4             N/A        N/A

NRS_FULL_MSA2                 OSS_Version                  None                   8.4             N/A        N/A

NRS_FULL_MSA3                 OSS_Version                  None                   8.4             N/A        N/A

NRS_FULL_MSA4                 OSS_Version                  None                   8.4             N/A        N/A

NRS_VIGNETTED_MSA             OSS_Version                  None                   8.4             N/A        N/A

NRS_VIGNETTED_MSA1            OSS_Version                  None                   8.4             N/A        N/A

NRS_VIGNETTED_MSA2            OSS_Version                  None                   8.4             N/A        N/A

NRS_VIGNETTED_MSA3            OSS_Version                  None                   8.4             N/A        N/A

NRS_VIGNETTED_MSA4            OSS_Version                  None                   8.4             N/A        N/A

NRS_FIELD1_MSA4               OSS_Version                  None                   8.4             N/A        N/A

NRS_FIELD2_MSA4               OSS_Version                  None                   8.4             N/A        N/A

NRS1_FP1MIMF                  OSS_Version                  None                   8.4             N/A        N/A

NRS1_FP2MIMF                  OSS_Version                  None                   8.4             N/A        N/A

NRS1_FP3MIMF                  OSS_Version                  None                   8.4             N/A        N/A

NRS2_FP4MIMF                  OSS_Version                  None                   8.4             N/A        N/A

NRS2_FP5MIMF                  OSS_Version                  None                   8.4             N/A        N/A

CLEAR_GWA_OTE                 OSS_Version                  None                   8.4             N/A        N/A

F110W_GWA_OTE                 OSS_Version                  None                   8.4             N/A        N/A

F140X_GWA_OTE                 OSS_Version                  None                   8.4             N/A        N/A

NRS_SKY_OTEIP                 OSS_Version                  None                   8.4             N/A        N/A

NRS_CLEAR_OTEIP_MSA_L0        OSS_Version                  None                   8.4             N/A        N/A

NRS_CLEAR_OTEIP_MSA_L1        OSS_Version                  None                   8.4             N/A        N/A

NRS_F070LP_OTEIP_MSA_L0       OSS_Version                  None                   8.4             N/A        N/A

NRS_F070LP_OTEIP_MSA_L1       OSS_Version                  None                   8.4             N/A        N/A

NRS_F100LP_OTEIP_MSA_L0       OSS_Version                  None                   8.4             N/A        N/A

NRS_F100LP_OTEIP_MSA_L1       OSS_Version                  None                   8.4             N/A        N/A

NRS_F170LP_OTEIP_MSA_L0       OSS_Version                  None                   8.4             N/A        N/A

NRS_F170LP_OTEIP_MSA_L1       OSS_Version                  None                   8.4             N/A        N/A

NRS_F290LP_OTEIP_MSA_L0       OSS_Version                  None                   8.4             N/A        N/A

NRS_F290LP_OTEIP_MSA_L1       OSS_Version                  None                   8.4             N/A        N/A

NRS_F110W_OTEIP_MSA_L0        OSS_Version                  None                   8.4             N/A        N/A

NRS_F110W_OTEIP_MSA_L1        OSS_Version                  None                   8.4             N/A        N/A

NRS_F140X_OTEIP_MSA_L0        OSS_Version                  None                   8.4             N/A        N/A

NRS_F140X_OTEIP_MSA_L1        OSS_Version                  None                   8.4             N/A        N/A

