Reference:  75 apertures in PRDOPSSOC-M-026
Comparison: 75 apertures in pre_delivery

Number of modified apertures 75. Significant modifications are listed below.
Differences are reported for any text change
and fractional differences greater than 1e-06

Aperture                        Attribute             Reference            Comparison      Difference    Percent
NRS1_FULL_OSS                   XSciScale            0.10324663            0.10325235        0.000006     0.0055
NRS1_FULL_OSS                   YSciScale             0.1053387            0.10533853        0.000000     0.0002
NRS1_FULL_OSS                       V2Ref            294.054813             294.05417        0.000643     0.0002
NRS1_FULL_OSS                 V3IdlYAngle             139.15545          139.15589448        0.000444     0.0003
NRS1_FULL_OSS                 V3SciXAngle             48.133502           48.13380959        0.000308     0.0006
NRS1_FULL_OSS                 V3SciYAngle             139.15545          139.15589448        0.000444     0.0003
NRS1_FULL_OSS                   XIdlVert1              105.5208              105.6475        0.126700     0.1199
NRS1_FULL_OSS                   XIdlVert2             -104.1228             -104.1223        0.000500     0.0005
NRS1_FULL_OSS                   XIdlVert3             -106.6586             -106.6594        0.000800     0.0008
NRS1_FULL_OSS                   XIdlVert4              107.4969              107.6165        0.119600     0.1111
NRS1_FULL_OSS                   YIdlVert1             -104.9906             -104.9059        0.084700     0.0807
NRS1_FULL_OSS                   YIdlVert2             -108.0142             -108.0148        0.000600     0.0006
NRS1_FULL_OSS                   YIdlVert3              107.6142              107.6149        0.000700     0.0007
NRS1_FULL_OSS                   YIdlVert4              111.4559              111.5372        0.081300     0.0729
NRS1_FULL_OSS                  Sci2IdlX00  -0.06766024243397535  -0.06766048701557284        0.000000     0.0004
NRS1_FULL_OSS                  Sci2IdlX10 6.371061788272568e-05 6.370890614677663e-05        0.000000     0.0027
NRS1_FULL_OSS                  Sci2IdlX11 -4.967884326775753e-07 -4.970698804492993e-07        0.000000     0.0566
NRS1_FULL_OSS                  Sci2IdlX20 -2.953283669566588e-10 -2.955646134196004e-10        0.000000     0.0799
NRS1_FULL_OSS                  Sci2IdlX21 9.439852107911223e-10 9.440510071416129e-10        0.000000     0.0070
NRS1_FULL_OSS                  Sci2IdlX22 -1.120867055742931e-10 -1.112879201268919e-10        0.000000     0.7126
NRS1_FULL_OSS                  Sci2IdlX30 7.912458560555491e-14 8.298477723913039e-14        0.000000     4.6517
NRS1_FULL_OSS                  Sci2IdlX31 1.044169104687532e-14  1.10325249897478e-14        0.000000     5.3554
NRS1_FULL_OSS                  Sci2IdlX32  9.24476672039075e-14 9.236020596236368e-14        0.000000     0.0946
NRS1_FULL_OSS                  Sci2IdlX33 -9.214159585404147e-16 -1.804763753121786e-15        0.000000    48.9453
NRS1_FULL_OSS                  Sci2IdlX40  7.97054785944557e-18 5.648729504890469e-18        0.000000    29.1300
NRS1_FULL_OSS                  Sci2IdlX41 -2.114476191585075e-18 -2.405824675340322e-18        0.000000    12.1101
NRS1_FULL_OSS                  Sci2IdlX42 2.601356881125444e-20 -1.521367320640505e-18        0.000000   101.7099
NRS1_FULL_OSS                  Sci2IdlX43  2.94250810259673e-19 -1.974391146562075e-19        0.000000   167.0989
NRS1_FULL_OSS                  Sci2IdlX44 -8.38293103841378e-18 -9.012597898676598e-18        0.000000     6.9865
NRS1_FULL_OSS                  Sci2IdlX50    -1.42314919585e-21 -1.050715013587022e-21        0.000000    26.1697
NRS1_FULL_OSS                  Sci2IdlX51     2.89223463855e-24 3.710178289757959e-23        0.000000    92.2046
NRS1_FULL_OSS                  Sci2IdlX52    -2.00596589997e-22 2.612299746800808e-22        0.000000   176.7893
NRS1_FULL_OSS                  Sci2IdlX53    -5.09748187673e-22 -3.228929469215848e-22        0.000000    36.6564
NRS1_FULL_OSS                  Sci2IdlX54     1.86011972425e-22 1.157276804843781e-21        0.000000    83.9268
NRS1_FULL_OSS                  Sci2IdlX55     7.71326251076e-22 1.777224398442411e-21        0.000000    56.5994
