Reference:  320 apertures in PRDOPSSOC-043
Comparison: 320 apertures in pre-delivery

Number of modified apertures 240. Significant modifications are listed below.
Differences are reported for any text change
and fractional differences greater than 1e-06

Aperture                        Attribute             Reference            Comparison      Difference    Percent
NRCA1_FULL_OSS                      V2Ref            120.525464            120.521931        0.003533     0.0029
NRCA1_FULL_OSS                      V3Ref           -527.543132           -527.681271        0.138139     0.0262
NRCA1_FULL_OSS                V3IdlYAngle            -0.5627898           -0.57873665        0.015947     2.7555
NRCA1_FULL_OSS                V3SciXAngle           89.48459803           89.46865118        0.015947     0.0178
NRCA1_FULL_OSS                V3SciYAngle            -0.5627898           -0.57873665        0.015947     2.7555

NRCA2_FULL_OSS                      V2Ref            119.589099            119.668749        0.079650     0.0666
NRCA2_FULL_OSS                      V3Ref           -459.863304           -459.968346        0.105042     0.0228
NRCA2_FULL_OSS                V3IdlYAngle           -0.21969952           -0.21514994        0.004550     2.0708
NRCA2_FULL_OSS                V3SciXAngle          -90.27745405          -90.27290448        0.004550     0.0050
NRCA2_FULL_OSS                V3SciYAngle          179.78030048          179.78485006        0.004550     0.0025

NRCA3_FULL_OSS                      V2Ref             51.885582             51.905905        0.020323     0.0392
NRCA3_FULL_OSS                      V3Ref           -527.952752           -528.126746        0.173994     0.0329
NRCA3_FULL_OSS                V3IdlYAngle            0.27380527            0.26908435        0.004721     1.7242
NRCA3_FULL_OSS                V3SciXAngle           90.03176459           90.02704367        0.004721     0.0052
NRCA3_FULL_OSS                V3SciYAngle            0.27380527            0.26908435        0.004721     1.7242

NRCA4_FULL_OSS                      V2Ref              52.19455              52.29502        0.100470     0.1921
NRCA4_FULL_OSS                      V3Ref            -459.97249            -460.09983        0.127340     0.0277
NRCA4_FULL_OSS                V3IdlYAngle            0.08871159            0.07724494        0.011467    12.9258
NRCA4_FULL_OSS                V3SciXAngle           -89.9598609          -89.97132755        0.011467     0.0127
NRCA4_FULL_OSS                V3SciYAngle         -179.91128841         -179.92275506        0.011467     0.0064

NRCA5_FULL_OSS                      V2Ref             86.039011              85.87763        0.161381     0.1876
NRCA5_FULL_OSS                      V3Ref           -493.385704           -493.586939        0.201235     0.0408
NRCA5_FULL_OSS                V3IdlYAngle           -0.07385127           -0.07436148        0.000510     0.6861
NRCA5_FULL_OSS                V3SciXAngle           89.84306943           89.84255922        0.000510     0.0006
NRCA5_FULL_OSS                V3SciYAngle           -0.07385127           -0.07436148        0.000510     0.6861

NRCB1_FULL_OSS                      V2Ref           -120.969513           -122.636754        1.667241     1.3595
NRCB1_FULL_OSS                      V3Ref           -457.788777           -457.771697        0.017080     0.0037
NRCB1_FULL_OSS                V3IdlYAngle             0.3665987            0.28424495        0.082354    22.4643
NRCB1_FULL_OSS                V3SciXAngle          -89.57306239          -89.65541615        0.082354     0.0919
NRCB1_FULL_OSS                V3SciYAngle          -179.6334013         -179.71575505        0.082354     0.0458

NRCB2_FULL_OSS                      V2Ref           -121.154684           -122.873335        1.718651     1.3987
NRCB2_FULL_OSS                      V3Ref           -525.478141           -525.486255        0.008114     0.0015
NRCB2_FULL_OSS                V3IdlYAngle            0.85955165            0.81935905        0.040193     4.6760
NRCB2_FULL_OSS                V3SciXAngle           90.82477063           90.78457803        0.040193     0.0443
NRCB2_FULL_OSS                V3SciYAngle            0.85955165            0.81935905        0.040193     4.6760

NRCB3_FULL_OSS                      V2Ref            -53.139934            -54.829507        1.689573     3.0815
NRCB3_FULL_OSS                      V3Ref            -457.82174           -457.752694        0.069046     0.0151
