# FGS distortion reference file for SIAF

# 
# Based on coefficients delivered to STScI in February 2015.
# These parameters are stored in PRDOPSSOC-H-014.
# 
# Generated 2019-04-04T18:55:34.216 utc
# by jsahlmann
# 
 AperName , siaf_index , exponent_x , exponent_y ,                Sci2IdlX ,                Sci2IdlY ,                Idl2SciX ,               Idl2SciY
FGS1_FULL ,         00 ,          0 ,          0 ,                     0.0 ,                    -0.0 ,                     0.0 ,                    0.0
FGS1_FULL ,         10 ,          1 ,          0 ,     0.06850142322844019 ,     0.00201851974838275 ,      14.598119509319499 ,    -0.4206431092392476
FGS1_FULL ,         11 ,          0 ,          1 ,  -4.336808689942018e-19 ,     0.07005886361899759 ,  -4.231682868027775e-05 ,     14.273605146759241
FGS1_FULL ,         20 ,          2 ,          0 ,   -4.72406596521652e-07 , -2.8872501412029814e-07 ,   0.0014099724652007768 ,  0.0008081863683449052
FGS1_FULL ,         21 ,          1 ,          1 ,  -6.821876392826732e-07 ,   -3.87161709693759e-07 ,   0.0020469348024489895 ,  0.0009242058224788083
FGS1_FULL ,         22 ,          0 ,          2 , -1.6418246011998646e-07 ,  -9.859092008729103e-07 ,   0.0004889435429590318 ,   0.002852938515351272
FGS1_FULL ,         30 ,          3 ,          0 ,  1.0254071603874602e-10 ,  1.0860144226506359e-11 ,  -4.181762105417043e-06 ,  2.135811633412592e-08
FGS1_FULL ,         31 ,          2 ,          1 ,  2.6169282955940763e-11 ,  1.1741195793762944e-10 ,  -2.988743903890569e-08 , -4.223333142584941e-06
FGS1_FULL ,         32 ,          1 ,          2 ,  1.1700000840031278e-10 ,   3.182474003044679e-11 ,  -4.128259674105764e-06 , 5.0049145571507764e-08
FGS1_FULL ,         33 ,          0 ,          3 ,   7.913325033993231e-12 ,  1.3058204781117477e-10 , -4.8984184188815313e-08 , -4.172363650092821e-06
FGS1_FULL ,         40 ,          4 ,          0 , -3.5614200590156745e-15 ,  -1.900895960378647e-15 , -1.2645090584996413e-10 , -8.594067395441778e-11
FGS1_FULL ,         41 ,          3 ,          1 , -6.1798295595148255e-15 , -3.9780046586592854e-15 ,  -2.669969091907112e-10 , -1.603486256459547e-10
FGS1_FULL ,         42 ,          2 ,          2 , -5.3599079878480745e-15 ,  -9.818631562416118e-15 ,  -1.776915066741261e-10 , 1.0765742286033249e-11
FGS1_FULL ,         43 ,          1 ,          3 ,  -6.435154618172445e-15 ,  -4.874077158774172e-15 , -1.2307612518034795e-10 , -1.010423927474257e-10
FGS1_FULL ,         44 ,          0 ,          4 , -1.1294561811008658e-15 ,  -8.218978938590392e-15 ,  -6.225217714775416e-11 ,  5.921802441819018e-11
