# FGS distortion coefficient file

# Aperture: FGS2_FULL_OSS
# Based on coefficients derived from FGS-11 commissioning program.
# 
# Generated 2022-05-06T19:11:02.115 utc
# by tsohn
# 
     AperName , siaf_index , exponent_x , exponent_y ,          Sci2IdlX ,          Sci2IdlY ,          Idl2SciX ,          Idl2SciY
FGS2_FULL_OSS ,         00 ,          0 ,          0 ,               0.0 ,               0.0 ,               0.0 ,               0.0
FGS2_FULL_OSS ,         10 ,          1 ,          0 ,    0.067867498808 ,   0.0011634764897 ,      14.734032952 ,    -0.24716604381
FGS2_FULL_OSS ,         11 ,          0 ,          1 ,              -0.0 ,    0.069764410384 ,  1.3877787808e-18 ,      14.334409894
FGS2_FULL_OSS ,         20 ,          2 ,          0 , -2.8251788056e-07 , -2.7822976573e-07 ,  0.00087277030424 ,  0.00083933196447
FGS2_FULL_OSS ,         21 ,          1 ,          1 , -6.6622472204e-07 , -2.4098911721e-07 ,   0.0020599433661 ,  0.00059721021882
FGS2_FULL_OSS ,         22 ,          0 ,          2 , -1.2076975439e-07 , -1.0002109401e-06 ,  0.00036698278312 ,   0.0029384669012
FGS2_FULL_OSS ,         30 ,          3 ,          0 ,  8.3924385784e-11 ,   8.688984693e-13 ,  -3.719080103e-06 ,  2.1144215461e-07
FGS2_FULL_OSS ,         31 ,          2 ,          1 ,  1.9665096321e-12 ,  9.7299104951e-11 ,   5.095569862e-07 , -3.7256473951e-06
FGS2_FULL_OSS ,         32 ,          1 ,          2 ,  1.0217765529e-10 , -5.2574006414e-12 , -3.8078587517e-06 ,  8.8639179192e-07
FGS2_FULL_OSS ,         33 ,          0 ,          3 , -3.7143715053e-12 ,  9.4250076578e-11 ,  3.1271493618e-07 , -2.8654245517e-06
FGS2_FULL_OSS ,         40 ,          4 ,          0 , -1.5180405096e-15 ,  3.8878165736e-15 ,  3.0192074715e-10 , -3.2394410221e-09
FGS2_FULL_OSS ,         41 ,          3 ,          1 ,  5.1853469649e-15 ,  7.2866114874e-15 , -6.2768106025e-09 ,  -5.300612592e-09
FGS2_FULL_OSS ,         42 ,          2 ,          2 ,  1.2022922383e-14 ,   4.968424597e-16 , -8.8188292511e-09 , -3.7625210492e-09
FGS2_FULL_OSS ,         43 ,          1 ,          3 ,  5.9021118208e-15 ,  2.6633400186e-14 , -6.7178149649e-09 , -1.5493342776e-08
FGS2_FULL_OSS ,         44 ,          0 ,          4 ,  6.9584757915e-15 ,  2.4068088726e-14 , -4.2999639887e-09 , -1.7967888213e-08
