# NIRCam distortion reference file for SIAF
# 
# Aperture: NRCA1_FULL_WEDGE_BAR
# 
# Based on coefficients derived from PID 4447, using filter F210M
# analysis by rest, girard, gennaro, hilbert
# 
# Generated on 2023-11-30
# by gennaro
            AperName , siaf_index , exponent_x , exponent_y ,                Sci2IdlX ,                Sci2IdlY ,                Idl2SciX ,                Idl2SciY
NRCA1_FULL_WEDGE_BAR ,         00 ,          0 ,          0 ,  0.0000000000000000e+00 ,  0.0000000000000000e+00 , -4.2291367407999998e-05 , -1.5097167293000001e-05 
NRCA1_FULL_WEDGE_BAR ,         10 ,          1 ,          0 ,  3.0891672929000000e-02 , -1.1255783242000000e-04 ,  3.2371183555000002e+01 ,  1.1793280932000000e-01 
NRCA1_FULL_WEDGE_BAR ,         11 ,          0 ,          1 ,  1.1572689970000000e-07 ,  3.0896180719999999e-02 , -1.2180827459000000e-04 ,  3.2366460848999999e+01 
NRCA1_FULL_WEDGE_BAR ,         20 ,          2 ,          0 ,  8.7067640317000003e-09 ,  1.0838377137000000e-07 , -2.7591852380999998e-04 , -3.6821812868999999e-03 
NRCA1_FULL_WEDGE_BAR ,         21 ,          1 ,          1 , -1.5111735506000001e-07 ,  4.2742154455999998e-08 ,  5.1327955223000000e-03 , -1.4181229947999999e-03 
NRCA1_FULL_WEDGE_BAR ,         22 ,          0 ,          2 , -2.9474687479999999e-08 , -4.6244344058000003e-08 ,  9.9935894564000000e-04 ,  1.5718284588000001e-03 
NRCA1_FULL_WEDGE_BAR ,         30 ,          3 ,          0 ,  1.0113352980000000e-11 , -3.5511369744000000e-12 , -1.1678279936000000e-05 ,  4.0382722246999999e-06 
NRCA1_FULL_WEDGE_BAR ,         31 ,          2 ,          1 , -2.0534680755999998e-12 ,  8.7829473463999996e-12 ,  1.6058996444000000e-06 , -1.1089378740000000e-05 
NRCA1_FULL_WEDGE_BAR ,         32 ,          1 ,          2 ,  7.4812001951999995e-12 ,  2.1482999198000002e-13 , -7.2769996903999998e-06 , -9.9315477781999993e-07 
NRCA1_FULL_WEDGE_BAR ,         33 ,          0 ,          3 ,  9.5079862529000007e-13 ,  5.6916962238000004e-12 , -7.8397216890000001e-07 , -6.1483099664000003e-06 
NRCA1_FULL_WEDGE_BAR ,         40 ,          4 ,          0 , -2.7872948940999999e-15 , -1.2382014040999999e-15 ,  9.8692165552000001e-08 ,  4.8064835116999997e-08 
NRCA1_FULL_WEDGE_BAR ,         41 ,          3 ,          1 , -1.8833535546000000e-16 , -1.7995239633999997e-15 ,  8.2051825145999998e-10 ,  6.4129364384999995e-08 
NRCA1_FULL_WEDGE_BAR ,         42 ,          2 ,          2 , -1.7744930856999999e-15 , -1.3624521972999998e-15 ,  6.2542689290999998e-08 ,  4.8454914398000002e-08 
NRCA1_FULL_WEDGE_BAR ,         43 ,          1 ,          3 , -3.5940617462999998e-16 , -1.0172552878000000e-15 ,  7.5650474918999998e-09 ,  3.8037268296000002e-08 
NRCA1_FULL_WEDGE_BAR ,         44 ,          0 ,          4 , -9.9850436165999996e-16 , -2.0614319647999998e-15 ,  3.5173054813000001e-08 ,  7.1164285977000005e-08 
NRCA1_FULL_WEDGE_BAR ,         50 ,          5 ,          0 , -1.1362694007000000e-19 ,  2.0599418648999999e-18 ,  1.4204837142000001e-10 , -2.3972006001000001e-09 
NRCA1_FULL_WEDGE_BAR ,         51 ,          4 ,          1 ,  1.0516850183000001e-18 ,  5.6535057804000002e-19 , -1.1311310127999999e-09 , -6.4488484217999997e-10 
NRCA1_FULL_WEDGE_BAR ,         52 ,          3 ,          2 ,  7.0146743280999997e-20 ,  1.7829570272000002e-18 , -3.2636030730000002e-11 , -2.0320523612999999e-09 
NRCA1_FULL_WEDGE_BAR ,         53 ,          2 ,          3 , -4.9982165426000005e-19 , -1.5765539166000000e-19 ,  5.4598486812000003e-10 ,  2.4302969495000001e-10 
NRCA1_FULL_WEDGE_BAR ,         54 ,          1 ,          4 ,  3.0420103411000001e-18 , -3.0594625872000000e-18 , -3.4371565230999999e-09 ,  3.4565941537999999e-09 
NRCA1_FULL_WEDGE_BAR ,         55 ,          0 ,          5 , -1.1476989874000001e-18 ,  1.5349769105000001e-18 ,  1.3322275363000001e-09 , -1.7261116873000000e-09 
