# NIRCam distortion reference file for SIAF
# 
# Aperture: NRCA3_FULL_WEDGE_RND
# 
# Based on coefficients derived from PID 4447, using filter F210M
# analysis by rest, girard, gennaro, hilbert
# 
# Generated on 2023-11-30
# by gennaro
            AperName , siaf_index , exponent_x , exponent_y ,                Sci2IdlX ,                Sci2IdlY ,                Idl2SciX ,                Idl2SciY
NRCA3_FULL_WEDGE_RND ,         00 ,          0 ,          0 ,  0.0000000000000000e+00 ,  0.0000000000000000e+00 ,  1.0438238113000000e-04 , -7.0283322310999997e-05 
NRCA3_FULL_WEDGE_RND ,         10 ,          1 ,          0 ,  3.1054836810999999e-02 ,  1.2925703431000000e-05 ,  3.2201102908999999e+01 , -1.3414305059999999e-02 
NRCA3_FULL_WEDGE_RND ,         11 ,          0 ,          1 , -7.6279008155000003e-07 ,  3.1030580748999999e-02 ,  7.8936524059999998e-04 ,  3.2226275715000000e+01 
NRCA3_FULL_WEDGE_RND ,         20 ,          2 ,          0 ,  6.7392808540000000e-08 ,  1.0619715812999999e-07 , -2.2526727625000000e-03 , -3.5458522785999998e-03 
NRCA3_FULL_WEDGE_RND ,         21 ,          1 ,          1 , -1.5212874117000000e-07 ,  7.8597272595999996e-08 ,  5.0838927509999996e-03 , -2.6327042087999999e-03 
NRCA3_FULL_WEDGE_RND ,         22 ,          0 ,          2 , -1.2115917766999999e-08 , -5.0414482809999997e-08 ,  4.0433122649999998e-04 ,  1.6874728965999999e-03 
NRCA3_FULL_WEDGE_RND ,         30 ,          3 ,          0 ,  1.0621995748000000e-11 ,  1.5499088122999999e-12 , -1.1659878079000000e-05 , -8.6918326301000000e-07 
NRCA3_FULL_WEDGE_RND ,         31 ,          2 ,          1 ,  3.1920806881999998e-12 ,  7.7802156498999997e-12 , -4.9865294547999997e-06 , -9.4788276593000007e-06 
NRCA3_FULL_WEDGE_RND ,         32 ,          1 ,          2 ,  8.6435603740999998e-12 , -3.4673363140000005e-13 , -8.3666060508000000e-06 , -5.2889968392000001e-07 
NRCA3_FULL_WEDGE_RND ,         33 ,          0 ,          3 ,  2.5098041598000001e-12 ,  5.6511690906000002e-12 , -2.5902462336000001e-06 , -5.9588351104000004e-06 
NRCA3_FULL_WEDGE_RND ,         40 ,          4 ,          0 ,  9.8559557913999990e-16 ,  9.7414200665999993e-16 , -3.0765430916000000e-08 , -3.1426691729999998e-08 
NRCA3_FULL_WEDGE_RND ,         41 ,          3 ,          1 , -1.8224494177999998e-15 ,  1.1234177815999999e-15 ,  5.8286430852000003e-08 , -3.3509068389000001e-08 
NRCA3_FULL_WEDGE_RND ,         42 ,          2 ,          2 ,  2.0514217035999997e-15 , -1.5906812735999999e-15 , -6.6738615522999996e-08 ,  5.4557895232999998e-08 
NRCA3_FULL_WEDGE_RND ,         43 ,          1 ,          3 , -4.4906640591999993e-16 ,  1.8568730733999999e-15 ,  8.0233200228000006e-09 , -6.0339667380000003e-08 
NRCA3_FULL_WEDGE_RND ,         44 ,          0 ,          4 ,  2.2531984445999997e-16 ,  4.8751690826999998e-16 , -7.2111657824999998e-09 , -1.9486781185000000e-08 
NRCA3_FULL_WEDGE_RND ,         50 ,          5 ,          0 , -2.2778862386999999e-18 , -1.1176144574000000e-18 ,  2.5423417323999998e-09 ,  1.2657979916000000e-09 
NRCA3_FULL_WEDGE_RND ,         51 ,          4 ,          1 , -2.3107404016000000e-18 ,  2.3429526350999999e-18 ,  2.5276578930999998e-09 , -2.6301316537000000e-09 
NRCA3_FULL_WEDGE_RND ,         52 ,          3 ,          2 ,  1.2204694495000001e-18 ,  4.4557747300000000e-19 , -1.2637348664000001e-09 , -5.1321374069999998e-10 
NRCA3_FULL_WEDGE_RND ,         53 ,          2 ,          3 , -1.5531579983000000e-18 ,  7.1416642653000004e-19 ,  1.6802404612000000e-09 , -7.0860958345000003e-10 
NRCA3_FULL_WEDGE_RND ,         54 ,          1 ,          4 ,  1.7940949618000001e-18 , -7.4629837546000004e-19 , -1.9903780200000002e-09 ,  8.1968821750999995e-10 
NRCA3_FULL_WEDGE_RND ,         55 ,          0 ,          5 , -2.1977538836000001e-18 ,  2.0353340962000003e-18 ,  2.4490041955999999e-09 , -2.2725206586000001e-09 
