# NIRCAM distortion coefficient file

# Source file: jw01144001001_01101_00001_nrca4_cal.fits
# Aperture: NRCA4_FULL
# 
# Generated 2021-05-17T18:39:00.093 utc
# by tsohn
# 
  AperName , siaf_index , exponent_x , exponent_y ,                Sci2IdlX ,                Sci2IdlY ,                Idl2SciX ,                Idl2SciY
NRCA4_FULL ,         00 ,          0 ,          0 ,                     0.0 ,                     0.0 ,                     0.0 ,                     0.0
NRCA4_FULL ,         10 ,          1 ,          0 ,    0.030874545742587526 ,  -1.934299001083297e-05 ,       32.38297901267254 ,    0.021495739449424078
NRCA4_FULL ,         11 ,          0 ,          1 ,                     0.0 ,    0.030956433862508556 ,   8.673617379884035e-19 ,       32.29878102520706
NRCA4_FULL ,         20 ,          2 ,          0 ,   7.351197564280485e-08 ,   7.826210046354795e-08 ,   -0.002524098688481686 ,  -0.0026407336142786975
NRCA4_FULL ,         21 ,          1 ,          1 ,  -1.693632650123857e-07 ,   7.860980804371437e-08 ,    0.005788070833791867 ,  -0.0026823242606242074
NRCA4_FULL ,         22 ,          0 ,          2 ,  -1.711547652766512e-08 ,  -7.738045593914843e-08 ,   0.0005221200592792449 ,    0.002651951580929307
NRCA4_FULL ,         30 ,          3 ,          0 ,  1.2421724929932902e-11 ,   3.794111489888505e-12 ,   -1.18689781363058e-05 ,  -4.679739060789442e-06
NRCA4_FULL ,         31 ,          2 ,          1 ,  -3.353346554213278e-11 ,  2.8256485214572413e-11 ,   3.455083657569445e-05 ,  -3.155396230538029e-05
NRCA4_FULL ,         32 ,          1 ,          2 ,   2.360943547579875e-11 ,   -7.40661944689032e-12 , -2.3879470339934866e-05 ,     7.0260359676739e-06
NRCA4_FULL ,         33 ,          0 ,          3 , -2.4322463688179114e-11 ,  2.0804214069573668e-11 ,  2.7344101826691103e-05 ,  -2.294951518279648e-05
NRCA4_FULL ,         40 ,          4 ,          0 , -1.2486524397180086e-14 ,   8.592933570238558e-15 ,   4.543057464939981e-07 ,  -2.994316323171937e-07
NRCA4_FULL ,         41 ,          3 ,          1 ,  -5.195861931252135e-15 ,  4.7687696735416625e-15 ,   1.304241727478508e-07 ,   -1.51828901373152e-07
NRCA4_FULL ,         42 ,          2 ,          2 , -1.1513382317424066e-14 ,   6.453723596529798e-15 ,   4.658432659078633e-07 ,  -2.657262895059364e-07
NRCA4_FULL ,         43 ,          1 ,          3 ,   8.659271807774568e-15 ,   1.154669181708128e-15 , -3.7397924387329565e-07 ,  1.7140461876304975e-08
NRCA4_FULL ,         44 ,          0 ,          4 ,   6.965742197324181e-15 ,  -6.646231072792731e-15 ,  -1.880753555596491e-07 ,   2.073180421664326e-07
NRCA4_FULL ,         50 ,          5 ,          0 ,     3.3858663429413e-19 , -1.8228743137870066e-18 , -1.8583525274257633e-09 ,   2.917705296780285e-09
NRCA4_FULL ,         51 ,          4 ,          1 ,  2.0471707696869644e-17 ,  -5.944584128738254e-18 , -2.3307458833324032e-08 ,  6.3699791585416665e-09
NRCA4_FULL ,         52 ,          3 ,          2 ,  -8.695778668189356e-18 ,  -9.787175507004582e-20 ,  1.0238289553071015e-08 ,  -2.552112133784899e-10
NRCA4_FULL ,         53 ,          2 ,          3 ,  2.7554152862328362e-17 , -1.8173299576228164e-17 ,  -3.123170229440689e-08 ,  2.0624030492907927e-08
NRCA4_FULL ,         54 ,          1 ,          4 ,  -1.664546560910286e-17 ,  1.4321513332991926e-17 ,  1.9311049870377747e-08 , -1.6598105572896635e-08
NRCA4_FULL ,         55 ,          0 ,          5 ,   1.440424786284935e-17 ,   -4.87756087229223e-18 ,   -1.65923439392733e-08 ,  5.7229411783887704e-09
