# NIRCam distortion reference file for SIAF

# Aperture: NRCA4_FULL_WEDGE_BAR

# Based on coefficients given in nircam_cold_fit.txt,
# 
# Generated 2020-06-26T00:54:02.141 utc
# by gennaro
# 
            AperName , siaf_index , exponent_x , exponent_y ,                Sci2IdlX ,                Sci2IdlY ,                Idl2SciX ,                Idl2SciY
NRCA4_FULL_WEDGE_BAR ,         00 ,          0 ,          0 ,                    -0.0 ,                     0.0 ,    -0.01297075166141326 ,   -0.005931191585432316
NRCA4_FULL_WEDGE_BAR ,         10 ,          1 ,          0 ,    0.030745928782176385 ,  0.00015197340306851085 ,      32.524365261796156 ,    -0.15915348710824323
NRCA4_FULL_WEDGE_BAR ,         11 ,          0 ,          1 , -1.3308581667259567e-17 ,     0.03094582780526085 ,   0.0029970279261456526 ,      32.315218764514405
NRCA4_FULL_WEDGE_BAR ,         20 ,          2 ,          0 ,   6.957050608265116e-08 ,  1.2989588889030419e-07 ,  -0.0024012570499356385 ,   -0.004402113380293036
NRCA4_FULL_WEDGE_BAR ,         21 ,          1 ,          1 , -1.0475777377248124e-07 ,   8.923519676533138e-08 ,     0.00357943302960686 ,  -0.0030394308914377666
NRCA4_FULL_WEDGE_BAR ,         22 ,          0 ,          2 ,   -7.02941623316279e-09 ,   2.406257054331102e-08 ,   0.0002917396656528489 ,  -0.0008024651719251779
NRCA4_FULL_WEDGE_BAR ,         30 ,          3 ,          0 ,     1.1213066885005e-11 ,  1.2403441546401833e-12 , -1.2805786357246485e-05 , -4.4613285777567823e-07
NRCA4_FULL_WEDGE_BAR ,         31 ,          2 ,          1 ,  2.7516498081472643e-12 ,  1.2897071196922818e-11 ,  -4.601019660424552e-06 , -1.4867339523664156e-05
NRCA4_FULL_WEDGE_BAR ,         32 ,          1 ,          2 ,  1.3985778143632988e-11 ,  3.4297284653456682e-12 ,  -1.407552353915256e-05 ,  -4.010012656898958e-06
NRCA4_FULL_WEDGE_BAR ,         33 ,          0 ,          3 ,  -1.663289800864882e-12 ,  1.4477171152586141e-11 , -1.2002265397099434e-06 , -1.6132104381465945e-05
NRCA4_FULL_WEDGE_BAR ,         40 ,          4 ,          0 ,   6.620329355130676e-16 ,  -2.939817211048747e-17 , -2.7806578614754685e-08 ,   2.445726363508101e-10
NRCA4_FULL_WEDGE_BAR ,         41 ,          3 ,          1 ,  1.0092761461564234e-15 ,   5.111110554861047e-16 , -3.9983632433531193e-08 , -1.6575832207015453e-08
NRCA4_FULL_WEDGE_BAR ,         42 ,          2 ,          2 ,  1.1142067072401532e-15 ,  1.4063506686731164e-15 ,  -2.843753351075574e-08 , -5.0853864393202603e-08
NRCA4_FULL_WEDGE_BAR ,         43 ,          1 ,          3 ,  1.2441660925813763e-15 ,   5.593365808251878e-16 ,   -3.71961441136245e-08 , -1.8594755320466803e-08
NRCA4_FULL_WEDGE_BAR ,         44 ,          0 ,          4 ,  -1.982195787778085e-15 ,  1.0544061486709408e-15 ,  -6.302481794775904e-09 , -4.3461846738890186e-08
NRCA4_FULL_WEDGE_BAR ,         50 ,          5 ,          0 ,    9.85464334524709e-20 ,  -5.688776804512736e-20 , -1.5724417849954788e-10 ,   3.945991804574006e-11
NRCA4_FULL_WEDGE_BAR ,         51 ,          4 ,          1 ,   5.370633629259521e-20 ,   9.876733055784936e-20 , -1.2486493596616572e-11 , -1.0168003632361631e-10
NRCA4_FULL_WEDGE_BAR ,         52 ,          3 ,          2 ,    1.43955649620694e-19 , -1.1685492514566925e-20 , -2.4731333520068923e-10 , -2.6713771639178967e-11
NRCA4_FULL_WEDGE_BAR ,         53 ,          2 ,          3 ,  1.6404043748492544e-19 ,  1.8427573628045281e-19 ,   -6.30803198207552e-12 , -2.1190167010224832e-10
NRCA4_FULL_WEDGE_BAR ,         54 ,          1 ,          4 ,   9.939093725858192e-20 ,  5.3591562861854886e-21 ,   -1.17840666179315e-10 ,  -1.870913912786635e-11
NRCA4_FULL_WEDGE_BAR ,         55 ,          0 ,          5 ,  -3.782914743644815e-19 ,   8.317607147553994e-20 ,  -1.074105367936806e-11 , -1.1906645532145894e-10
