# NIRCam distortion reference file for SIAF
# 
# Aperture: NRCA5_FULL_WEDGE_BAR
# 
# Based on coefficients derived in NRC-21b, using filters: F335M
# by the NRC-21b analysis team
# 
# Generated on 2022-05-08 18:57:01.291093
# by gennaro
            AperName , siaf_index , exponent_x , exponent_y ,                Sci2IdlX ,               Sci2IdlY ,                Idl2SciX ,                Idl2SciY
NRCA5_FULL_WEDGE_BAR ,         00 ,          0 ,          0 ,                     0.0 ,                    0.0 ,                     0.0 ,                     0.0
NRCA5_FULL_WEDGE_BAR ,         10 ,          1 ,          0 ,            0.0623857737 ,      -6.5597462311e-05 ,            16.028606007 ,    0.016183967464999997
NRCA5_FULL_WEDGE_BAR ,         11 ,          0 ,          1 ,   4.993036320699999e-21 ,         0.062805336763 , -1.8260247115999998e-19 ,            15.921656552
NRCA5_FULL_WEDGE_BAR ,         20 ,          2 ,          0 ,        1.3997498577e-07 ,       4.5785074967e-07 ,       -0.00058074773146 ,        -0.0018796627117
NRCA5_FULL_WEDGE_BAR ,         21 ,          1 ,          1 ,       -4.7268254497e-07 , 2.3297321983000002e-07 ,   0.0019415275372000002 ,       -0.00096963548297
NRCA5_FULL_WEDGE_BAR ,         22 ,          0 ,          2 ,       -9.4369733404e-08 ,       3.1770836846e-08 ,        0.00039608163839 ,        -0.0001322811178
NRCA5_FULL_WEDGE_BAR ,         30 ,          3 ,          0 ,         9.919653251e-11 , 1.6543320990999997e-11 ,       -6.7209159871e-06 ,       -8.9790520529e-07
NRCA5_FULL_WEDGE_BAR ,         31 ,          2 ,          1 , -2.2627790191999997e-13 ,       1.0216781955e-10 ,        -3.169751989e-07 ,       -7.0855616709e-06
NRCA5_FULL_WEDGE_BAR ,         32 ,          1 ,          2 ,        7.4823074309e-11 , -8.622293789500001e-12 ,       -4.8173241924e-06 ,        6.4541992512e-08
NRCA5_FULL_WEDGE_BAR ,         33 ,          0 ,          3 ,       -1.1823535745e-11 ,       1.5865639832e-10 ,        9.1937365029e-07 , -1.0226410244999999e-05
NRCA5_FULL_WEDGE_BAR ,         40 ,          4 ,          0 , -2.9238772565000003e-15 ,  8.414011699699999e-15 ,  2.9784310459000002e-09 ,  -4.721845194899999e-09
NRCA5_FULL_WEDGE_BAR ,         41 ,          3 ,          1 ,        2.3582104733e-14 ,       6.2495536931e-15 , -2.9542222945999998e-08 ,       -1.2267066319e-09
NRCA5_FULL_WEDGE_BAR ,         42 ,          2 ,          2 ,   9.731600471600001e-15 ,  7.802037788199999e-15 ,         -1.25995863e-08 , -4.7840354943999994e-09
NRCA5_FULL_WEDGE_BAR ,         43 ,          1 ,          3 ,        -6.297161831e-14 ,       5.4764100625e-15 ,  5.9227984732000004e-08 ,       -2.9602768812e-11
NRCA5_FULL_WEDGE_BAR ,         44 ,          0 ,          4 ,       -1.6224737666e-14 ,      -2.3718977275e-14 ,        1.1769055083e-08 ,           2.5759416e-08
NRCA5_FULL_WEDGE_BAR ,         50 ,          5 ,          0 ,  2.4697628757000004e-18 ,      -9.5772903199e-18 ,        -3.588814034e-11 ,        1.7144611366e-10
NRCA5_FULL_WEDGE_BAR ,         51 ,          4 ,          1 ,        1.4091858641e-19 ,      -2.7511571597e-18 , -3.8405905621999994e-11 ,   7.838235975199999e-11
NRCA5_FULL_WEDGE_BAR ,         52 ,          3 ,          2 ,  2.6692747799000005e-17 ,       1.1598119944e-18 ,        -4.786790755e-10 ,        4.2950385915e-11
NRCA5_FULL_WEDGE_BAR ,         53 ,          2 ,          3 ,  6.3666297487999995e-18 ,       1.3819608368e-17 ,       -1.4380486121e-10 , -2.0844523503000002e-10
NRCA5_FULL_WEDGE_BAR ,         54 ,          1 ,          4 ,        -4.593505104e-17 , 1.1832257007000001e-17 ,        7.2077037498e-10 ,       -1.2192794533e-10
NRCA5_FULL_WEDGE_BAR ,         55 ,          0 ,          5 ,       -7.8507896064e-18 ,      -4.4603371154e-17 ,           7.1881368e-11 ,   7.541578589900001e-10
