# NIRCAM distortion coefficient file

# Source file: jw01144001001_01101_00001_nrcb2_cal.fits
# Aperture: NRCB2_FULL
# 
# Generated 2021-05-17T18:39:11.350 utc
# by tsohn
# 
  AperName , siaf_index , exponent_x , exponent_y ,                Sci2IdlX ,                Sci2IdlY ,                Idl2SciX ,                Idl2SciY
NRCB2_FULL ,         00 ,          0 ,          0 ,                     0.0 ,                     0.0 ,                     0.0 ,                     0.0
NRCB2_FULL ,         10 ,          1 ,          0 ,    0.031128175839742898 , -2.5041655629160665e-05 ,       32.12086003742292 ,    0.027239176995420746
NRCB2_FULL ,         11 ,          0 ,          1 ,                     0.0 ,     0.03131131860130331 ,                     0.0 ,      31.931301016299884
NRCB2_FULL ,         20 ,          2 ,          0 , -1.8410595304155938e-09 ,   6.556249972990957e-08 ,   7.171865329689195e-06 ,  -0.0021184837756112723
NRCB2_FULL ,         21 ,          1 ,          1 , -1.9670269396470256e-07 ,  -4.714766024686989e-08 ,    0.006491196628969106 ,   0.0015611425640136179
NRCB2_FULL ,         22 ,          0 ,          2 ,  4.7133430619861696e-08 ,  -1.547325104571979e-07 ,  -0.0014847185000246448 ,    0.005022369713951181
NRCB2_FULL ,         30 ,          3 ,          0 ,    9.21066319067298e-12 ,   9.871675905927626e-13 , -1.1433145863468807e-05 , -2.0414826923476506e-07
NRCB2_FULL ,         31 ,          2 ,          1 ,  1.1684832116567991e-11 ,  -4.373218603624753e-12 ,  -7.636534859298633e-06 , -1.7248054147031986e-07
NRCB2_FULL ,         32 ,          1 ,          2 ,   1.630038859902934e-11 ,  2.3765162956076717e-12 , -1.4596962854743512e-05 , -1.8944393472618835e-06
NRCB2_FULL ,         33 ,          0 ,          3 ,  -7.544875549880388e-13 ,  2.0198166258977952e-11 ,  -4.150948165157414e-06 , -1.5759124337809027e-05
NRCB2_FULL ,         40 ,          4 ,          0 ,   4.385262420390344e-15 , -4.5023711284096205e-15 ,  -8.730777067434114e-08 ,  1.1230698855701273e-07
NRCB2_FULL ,         41 ,          3 ,          1 ,  -1.962824911310633e-15 ,  3.4653688445490105e-15 ,  3.6798203352841955e-08 ,  -9.849802729598667e-08
NRCB2_FULL ,         42 ,          2 ,          2 ,  -1.702936093181056e-14 ,  1.5477237686380168e-14 ,   5.243304637558905e-07 ,  -4.822827367057168e-07
NRCB2_FULL ,         43 ,          1 ,          3 , -1.3539079292337622e-14 ,   5.788194577529358e-15 ,  4.3561394094926497e-07 ,  -2.205762299992574e-07
NRCB2_FULL ,         44 ,          0 ,          4 ,  -8.902061692805928e-15 ,   8.226602881606278e-15 ,    2.48513081027366e-07 , -2.5836923861387664e-07
NRCB2_FULL ,         50 ,          5 ,          0 ,     6.7009040561135e-19 , -3.1988480650937824e-18 ,  1.6384487639296613e-10 ,  2.8758712059557727e-09
NRCB2_FULL ,         51 ,          4 ,          1 ,  1.0841514339139034e-17 , -5.4128469248164216e-18 , -1.5883492364173314e-08 ,   9.061990850684532e-09
NRCB2_FULL ,         52 ,          3 ,          2 ,   4.133009534418141e-18 ,  -3.290667639875377e-19 ,   -3.92286173269291e-09 , -3.7991354445586106e-10
NRCB2_FULL ,         53 ,          2 ,          3 , -1.6918293615517007e-17 ,  1.7161314929103584e-17 ,  1.7076211948758773e-08 , -1.7546171974431314e-08
NRCB2_FULL ,         54 ,          1 ,          4 , -1.3366045205598762e-17 , -1.5005095981842965e-18 ,  1.3216393122705201e-08 ,  2.5301120167734637e-09
NRCB2_FULL ,         55 ,          0 ,          5 ,   5.892915252383275e-18 , -1.2384012132639173e-17 , -1.7933466729710355e-09 ,   9.329809398233885e-09
