# NIRSpec aperture definition file for SIAF
# 
# This file contains all the necessary aperture information to generate the full SIAF given the necessary reference files (focal plane alignment, distortion) and auxiliary information (DDC mapping, wedge offsets, ...)
# This file also defines the order in which the apertures are presented.
# 
# Originally based on PRDOPSSOC-H-014.
# 
# Generated 2018-04-10T14:40:45.911 utc
# jsahlmann@nereus.local.stsci.edu
# 
               AperName ,  AperType , XDetRef , YDetRef , XSciSize , YSciSize ,        XSciRef ,        YSciRef , parent_apertures , dependency_type
          NRS1_FULL_OSS ,       OSS ,  1024.5 ,  1024.5 ,     2048 ,     2048 ,         1024.5 ,         1024.5 ,        NRS1_FULL ,     oss_default
              NRS1_FULL ,   FULLSCA ,  1024.5 ,  1024.5 ,     2048 ,     2048 ,         1024.5 ,         1024.5 ,             None ,            None
          NRS2_FULL_OSS ,       OSS ,  1024.5 ,  1024.5 ,     2048 ,     2048 ,         1024.5 ,         1024.5 ,        NRS2_FULL ,     oss_default
              NRS2_FULL ,   FULLSCA ,  1024.5 ,  1024.5 ,     2048 ,     2048 ,         1024.5 ,         1024.5 ,             None ,            None
        NRS_S200A1_SLIT ,      SLIT ,    None ,    None ,     None ,     None ,           None ,           None ,        NRS1_FULL ,         default
        NRS_S200A2_SLIT ,      SLIT ,    None ,    None ,     None ,     None ,           None ,           None ,        NRS1_FULL ,         default
        NRS_S400A1_SLIT ,      SLIT ,    None ,    None ,     None ,     None ,           None ,           None ,        NRS1_FULL ,         default
       NRS_S1600A1_SLIT ,      SLIT ,    None ,    None ,     None ,     None ,           None ,           None ,        NRS1_FULL ,         default
        NRS_S200B1_SLIT ,      SLIT ,    None ,    None ,     None ,     None ,           None ,           None ,        NRS2_FULL ,         default
           NRS_FULL_IFU ,      SLIT ,    None ,    None ,     None ,     None ,           None ,           None ,        NRS1_FULL ,         default
        NRS_IFU_SLICE00 ,      SLIT ,    None ,    None ,     None ,     None ,           None ,           None ,        NRS1_FULL ,         default
        NRS_IFU_SLICE01 ,      SLIT ,    None ,    None ,     None ,     None ,           None ,           None ,        NRS1_FULL ,         default
        NRS_IFU_SLICE02 ,      SLIT ,    None ,    None ,     None ,     None ,           None ,           None ,        NRS1_FULL ,         default
        NRS_IFU_SLICE03 ,      SLIT ,    None ,    None ,     None ,     None ,           None ,           None ,        NRS1_FULL ,         default
        NRS_IFU_SLICE04 ,      SLIT ,    None ,    None ,     None ,     None ,           None ,           None ,        NRS1_FULL ,         default
        NRS_IFU_SLICE05 ,      SLIT ,    None ,    None ,     None ,     None ,           None ,           None ,        NRS1_FULL ,         default
        NRS_IFU_SLICE06 ,      SLIT ,    None ,    None ,     None ,     None ,           None ,           None ,        NRS1_FULL ,         default
        NRS_IFU_SLICE07 ,      SLIT ,    None ,    None ,     None ,     None ,           None ,           None ,        NRS1_FULL ,         default
