# NIRSPec xml field format reference file for SIAF
# 
# This file describes the format and order of the XML fields present in the SIAF.
# This is compliant with the IRCD (JWST-STScI-000949) and complementary because the decimal
# precision of float fields is specified.
# 
# Generated 2018-02-20T02:00:15.117 utc
# jsahlmann@nereus.local.stsci.edu
# 
field_nr ,           field_name ,     format ,   pyformat ,                        example
     1.1 ,            InstrName ,     string ,            ,                        NIRSPEC
     1.2 ,             AperName ,     string ,            ,                      NRS1_FULL
     1.3 ,              DDCName ,     string ,            ,                      NRS1_CNTR
     1.4 ,             AperType ,     string ,            ,                        FULLSCA
     1.5 ,            AperShape ,     string ,            ,                           QUAD
     1.6 ,             XDetSize ,    integer ,          d ,                           2048
     1.7 ,             YDetSize ,    integer ,          d ,                           2048
     1.8 ,              XDetRef ,      float ,        .2f ,                        1024.50
     1.9 ,              YDetRef ,      float ,        .2f ,                        1024.50
    1.10 ,             XSciSize ,    integer ,          d ,                           2048
    1.11 ,             YSciSize ,    integer ,          d ,                           2048
    1.12 ,              XSciRef ,      float ,        .2f ,                        1024.50
    1.13 ,              YSciRef ,      float ,        .2f ,                        1024.50
    1.14 ,            XSciScale ,      float ,        .8f ,                     0.10326748
    1.15 ,            YSciScale ,      float ,        .8f ,                     0.10532422
    1.16 ,                V2Ref ,      float ,        .6f ,                     294.054813
    1.17 ,                V3Ref ,      float ,        .6f ,                    -502.901911
    1.18 ,          V3IdlYAngle ,      float ,        .6f ,                     139.155450
    1.19 ,           VIdlParity ,    integer ,          d ,                             -1
    1.20 ,         DetSciYAngle ,      float ,        .2f ,                           0.00
    1.21 ,         DetSciParity ,    integer ,          d ,                              1
    1.22 ,          V3SciXAngle ,      float ,        .6f ,                      48.133502
    1.23 ,          V3SciYAngle ,      float ,        .6f ,                     139.155450
    1.24 ,            XIdlVert1 ,      float ,        .4f ,                      -105.5208
    1.25 ,            XIdlVert2 ,      float ,        .4f ,                       104.1228
    1.26 ,            XIdlVert3 ,      float ,        .4f ,                       106.6586
    1.27 ,            XIdlVert4 ,      float ,        .4f ,                      -107.4969
    1.28 ,            YIdlVert1 ,      float ,        .4f ,                      -104.9906
    1.29 ,            YIdlVert2 ,      float ,        .4f ,                      -108.0142
    1.30 ,            YIdlVert3 ,      float ,        .4f ,                       107.6142
    1.31 ,            YIdlVert4 ,      float ,        .4f ,                       111.4559
    1.32 ,         UseAfterDate ,     string ,            ,                     2014-01-01
    1.33 ,              Comment ,     string ,            ,                               
    1.34 ,           Sci2IdlDeg ,    integer ,          d ,                              5
    1.35 ,           Sci2IdlX00 ,      float ,       .15e ,         -6.766024243397535E-02
    1.36 ,           Sci2IdlX10 ,      float ,       .15e ,          6.371061788272568E-05
    1.37 ,           Sci2IdlX11 ,      float ,       .15e ,         -4.967884326775753E-07
